Name,SpT,Temperature,Vmag,Jmag
2683023811628007296,,3501.576416015625,9.136045477938652,
4282578724832056576,,3560.908935546875,9.198852892017365,
6673000841376349696,,3588.5205078125,7.940663443403244,
4946938113149426944,,3611.961181640625,8.923683404374122,
70051608089857536,,3655.815185546875,9.574197540903091,
354077348697687424,,3731.829833984375,9.376916184692384,
1471777269618346240,,3739.438232421875,8.9887097052145,
4389844948935164544,,3754.77587890625,9.277248682932854,
272855565763652480,,3760.628173828125,8.582956458272934,
6171492113110925312,,3826.126953125,8.993509238524437,
2396530698208685312,,3828.11669921875,7.848499027075768,
4291123545113039616,,3831.62158203125,9.306981150560379,
5334356223546958464,,3844.5712890625,8.708281931705475,
732857558276385664,,3869.18115234375,8.292123832478524,
3057712188691831936,,3874.290771484375,8.905324560246468,
383426372059603712,,3875.679931640625,8.960495277323723,
3244915072792668416,,3877.171875,9.001046411266326,
1462061709995883136,,3905.4169921875,9.329120260224343,
1510834911934401152,,3906.253173828125,8.80752310520172,
6471497502884511232,,3917.27197265625,8.804230053181648,
676689831406224128,,3953.0791015625,9.408382074570655,
6335064087152916224,,3973.337158203125,9.435870217838287,
6866310172545095424,,3987.56494140625,8.88846797372818,
