Id,Coordinates,Spectral Type,Temperature,Vmag,Jmag,RV_Prec(415 +- 35),RV_Prec(500 +- 50),RV_Prec(600 +- 50),RV_Prec(700 +- 50),RV_Prec(800 +- 50),RV_Prec(900 +- 50),RV_Prec(1050 +- 100),RV_Prec(1287.5 +- 137.5),RV_Prec(1602.5 +- 177.5),RV_Prec(2180 +- 200),RV_Prec(370 - 890)
3943232534138172672,undefined,,4006.371826171875,9.44126442141533,NaN,2.4568722730471375,0.5485951227439928,0.6536881312882127,0.6316648979710769,0.9565890714929647,1.5322805065463618,1.349955270871924,2.2831376510075887,1.3101873215401074,1.6766457348614263,0.2944683092255232
2395031273585836288,undefined,,4036.313720703125,8.587043935575485,NaN,2.367143266352073,0.5469785890024679,0.6660284311178815,0.6627205602730478,0.9880090230888005,1.5450533999124951,1.3503195601657887,2.2949770530581937,1.328424554314212,1.7306971588386104,0.29968872876125907
1234693112077610880,undefined,,4049.166259765625,9.209975299782753,NaN,2.3286271476614533,0.5462846929286201,0.6713254969210573,0.6760511834382358,1.0014960172002074,1.5505361562143063,1.3504759311120078,2.300059108810318,1.3362528748093112,1.7538986979838858,0.30181896272327036
6260386975385254656,undefined,,4101.45458984375,8.889188472819328,NaN,2.1719309868772037,0.5434616968830273,0.6928756920860062,0.7302845159197676,1.05636551780469,1.572841801025259,1.3511120992349583,2.3207345728062103,1.3681010414645218,1.8482901432266692,0.3098384117949789
5073448642595674752,undefined,,4130.81005859375,9.12749900317192,NaN,2.083959364064346,0.5418768236986291,0.7049743014654959,0.7607319387862326,1.0871700951915824,1.5853645313977565,1.351469253755386,2.3323420947201114,1.3859810896434355,1.9012829451951354,0.31390596945970706
6721432232656218752,undefined,,4235.400390625,8.344812724895478,NaN,1.7705260710148278,0.5362300934762196,0.7480803265436076,0.869212784185761,1.1969234431764426,1.6299816532959497,1.3527417563407178,2.3736984287433924,1.4496857503216045,2.090090516293728,0.32598483592229666
4819591920506512768,undefined,,4265.9111328125,9.031418509688377,NaN,1.6790923580560084,0.5345828482034269,0.7606550721471805,0.9008584539334977,1.2289403231264988,1.6429972110147768,1.3531129665430373,2.3857627603187757,1.468269461075224,2.145168830062883,0.32879720834391324
4364527594192166400,undefined,,4311.11572265625,7.695864108662605,NaN,1.5436245458738462,0.5321422963980644,0.7792857633937502,0.9477445477717289,1.2763764004701639,1.6622810076740493,1.353662950048471,2.403637224245374,1.4958030103160032,2.2267726326816226,0.332334171785319
5970189332424492160,undefined,,4334.82861328125,8.499015117764474,NaN,1.4725624385836995,0.53086206051438,0.7890588316889189,0.972339501931526,1.301259858491073,1.6723966743042886,1.3539514539095832,2.4130135997315136,1.5102462348629222,2.269579393074114,0.33386511784899736
4843073709303881728,undefined,,4336.9189453125,8.834761856145859,NaN,1.4662981917895903,0.5307492055226566,0.789920344442638,0.974507589378155,1.303453378048513,1.6732883876895956,1.353976886020394,2.4138401433328682,1.5115194299103931,2.273352882515681,0.333988590596471
1872046609345556480,undefined,,4353.74365234375,5.201188774409294,NaN,1.415878394596266,0.5298408559665221,0.7968545058429887,0.9919581357805132,1.3211086229423945,1.6804656285486304,1.3541815845119172,2.420492844307374,1.5217671481422763,2.3037250211954454,0.33491108049949847
3498481519515679872,undefined,,4372.12890625,8.867176625943184,NaN,1.3607819954982532,0.528848254003579,0.804431833503766,1.0110272777164915,1.3404014498277683,1.6883085820868147,1.3544052694613127,2.4277626051627323,1.5329653759213955,2.336914275562023,0.33576644826409885
4109034455276324608,undefined,,4381.2255859375,6.2935548302936555,NaN,1.3335213279499574,0.5283571331215874,0.8081809534761527,1.0204623324071473,1.3499471796467604,1.6921891287741007,1.354515944589649,2.431359546833657,1.5385060495337235,2.353335697728898,0.3361267030741422
4706630501049679744,undefined,,4398.775390625,8.455076312074661,NaN,1.2809285789955371,0.5274096362487724,0.815413957772853,1.0386649483862973,1.368363316047953,1.6996756885719766,1.3547294650116917,2.438298960550048,1.5491954156622418,2.3850167903495003,0.3366948527601924
6490470881687779968,undefined,,4399.552734375,8.89879740869999,NaN,1.2785990576462678,0.5273676682163446,0.8157343334570204,1.0394712074881503,1.3691790327345785,1.7000072951380616,1.3547389225964643,2.438606332055154,1.5496688859999137,2.3864200594901157,0.33671596089520184
6604147121141267712,undefined,,4463.10888671875,6.451090375370979,NaN,1.0881358118014566,0.5239363334142685,0.8419284667348401,1.1053914986153572,1.4358725824087322,1.7271196729403804,1.355512181143411,2.463737234830922,1.5883801420064332,2.5011522963933337,0.33706060048542014
3256334497479041024,undefined,,4465.0986328125,8.047439370741845,NaN,1.0821729980462604,0.5238289089594045,0.8427485238409848,1.1074552585651385,1.43796055068637,1.727968477435855,1.3555363894712678,2.4645240054862634,1.589592071419758,2.504744207039067,0.3370201732002964
3052753116376444800,undefined,,4507.94970703125,8.34030846391201,NaN,0.9753183283573177,0.522138058993,0.8581774093182916,1.1478138530390871,1.4777572256125955,1.745710281953559,1.366048960102206,2.4847273384739355,1.6204350522741893,2.5901199607566743,0.3361478402944394
4503794795019024000,undefined,,4542.21875,7.943171486196518,NaN,0.9655620324233853,0.5229719304403447,0.8626803151339526,1.165742089156997,1.4914327173490476,1.7580098858018927,1.4095353560812292,2.512328483381043,1.661753382490117,2.6865571936420833,0.3381769480273507
1453180404823190912,undefined,,4545.7685546875,8.012771421451568,NaN,0.9645514134495643,0.5230583081304149,0.8631467546603316,1.167599209493506,1.4928493114661987,1.759283956730428,1.414039952618389,2.515187584922366,1.6660333970330943,2.6965467734986994,0.33838047252453307
