source_id,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 4247023886053586304,4247023886053586304,4247023886053586304,300.6956213279026,3.326715753341339,7.445705783176422,7.07664155960083,7.681397438049316,6.335810661315918,1.345586776733398,78.64649917102172,4487.138,0.7370653,0.2103397,0.71111625,0.676242153309853,236.5612673579149,0.1035738450874326,0.8178246510166601,0.03236366419604936,0.2555452330113985,0.1704168359562062,0.7062100041072963,0.3006488573105169,0.5453871619942572,2.04967100115046,4.5541,-4.55856474525,6.649400977047973,HD_number_match,K,HD 190007,GJ 775,98698,BY*,GAIA,K5V,K5V,12.7151241382714,0,0,1,0,1.0
Gaia DR3 6380214844952702848,6380214844952702848,6380214844952702848,354.9079315818153,-72.72542944515125,7.058919092321396,6.753961086273193,7.291834354400635,6.057794094085693,1.234040260314941,87.37235542781944,4720.630859375,0.7474004,0.23293945,0.7578372,0.700899620508507,247.8850510880222,0.1034076545187335,0.8370728544829681,0.02737494789486376,0.2215969976528656,0.1441440473915882,0.7145491312972724,0.3226464862227462,0.544497761634022,1.717218532617633,,-5.19755357304,0.5781773426760709,HD_number_match,K,HD 222237,GJ 902,116745,PM*,GAIA,K3+V,K3V,11.44526772917466,0,0,1,0,1.0
Gaia DR3 2552925644460225152,2552925644460225152,2552925644460225152,12.09910707515499,5.27553944692346,5.708550517215729,5.467689037322998,5.938368320465088,4.828773975372314,1.109594345092773,134.4948476893115,4859.2896,0.81159145,0.29489297,0.74619365,0.7812966968188881,279.9616300555159,0.1031216855267749,0.9184017952668383,0.0147839137731218,0.1316655452337411,0.07783926346376277,0.7297469264532314,0.3531250985305872,0.5429493280148469,1.953362366508123,4.5204,-4.91224981156,1.720542135488013,HD_number_match,G,HD 4628,GJ 33,3765,PM*,GAIA,K2.5V,K2.5V,7.435229060298576,1,0,0,0,1.0
Gaia DR3 4911306239828325760,4911306239828325760,4911306239828325760,24.95065662375784,-56.19640006625107,5.860563174533844,5.625487327575684,6.0899977684021,4.995799541473389,1.094198226928711,122.0034723530398,4902.265,0.8265656,0.3073524,0.7482267,0.7952994420381807,284.9053574958589,0.1031721371464126,0.9355616786461699,0.01587689450297911,0.143971177526507,0.08359289172403775,0.7282936186909675,0.3589072716637888,0.5432080743371672,1.973230055558392,4.5288,-4.93908810138,1.552793669059586,HD_number_match,G,HD 10361,GJ 66,,PM*,GAIA,K2V,K2V,8.196488023769628,1,0,0,0,1.0
Gaia DR3 2904830113367963264,2904830113367963264,2904830113367963264,81.56270270243877,-32.50515745795846,7.684235645537377,7.422554492950439,7.915007591247559,6.767078876495361,1.147928714752197,55.98581713923642,4791.3335,0.81422794,0.2808603,0.7347523,0.7659924800043281,271.3357519353207,0.106495287980714,0.9406360977633953,0.03662904505695965,0.3235317041765991,0.1928609668566229,0.7148828779436953,0.3418665400959516,0.5607239875813405,2.052688921124784,4.5344,-4.84427369597,2.231031307593514,HD_number_match,K,HD 35854,GJ 1079,25421,PM*,GAIA,K2/3V,K2/3V,17.86166659875671,0,1,0,0,1.0
Gaia DR3 4911306239828325632,4911306239828325632,4911306239828325632,24.95131741550617,-56.19325138476668,5.72813984459877,5.508301734924316,5.956991672515869,4.886207103729248,1.070784568786621,122.108812649359,5044.24,0.848425,0.3307818,0.72947353,0.8170306142107415,292.8154777280224,0.1029460856381189,0.9586094959406036,0.01538823344818924,0.1432915745921563,0.08101838857480913,0.7256436419054293,0.3732018204301692,0.5420067219909597,2.185671274726886,4.5958,-4.85208019017,2.165443637442135,HD_number_match,G,HD 10360,GJ 66,,PM*,GAIA,K2V,K2V,8.189417113337639,1,0,0,0,1.0
Gaia DR3 3211461469444773376,3211461469444773376,3211461469444773376,75.2066176720424,-5.758598962923454,6.203080644965172,5.886491775512695,6.436380386352539,5.186892986297607,1.249487400054932,113.0714591247876,4626.91,0.78,0.29215857,0.7966039,0.7898246852791948,290.2632249120762,0.1093408266343414,0.9598447662931058,0.01836566176992825,0.1612223436752253,0.09669506855543795,0.7745208361419774,0.3480613225914486,0.5756786147846606,1.543004944765388,4.4978,-5.01583925298,1.157995415576763,HD_number_match,K,HD 32147,GJ 183,23311,PM*,,K3+V,K3V,8.843964761225756,1,0,0,0,1.0
Gaia DR3 3936909723803146368,3936909723803146368,3936909723803146368,199.2156717072334,17.01600170156696,6.533892025775909,6.29768180847168,6.763493537902832,5.662589073181152,1.10090446472168,91.01762240593436,4876.54,0.7660175,0.30242664,0.7704703,0.7902860080872891,293.1570591856556,0.1110624764441658,0.9664621284511855,0.02163276563805056,0.1882476367555757,0.1138954800389839,0.7815906485914057,0.3674932885853415,0.5847386450984787,1.674830976344968,4.5324,-4.5040145351,8.190980117337912,HD_number_match,K,HD 115404,GJ 505,64797,PM*,GAIA,K2V,K2V,10.98688334815039,0,0,1,0,1.0
Gaia DR3 4109030160308317312,4109030160308317312,4109030160308317312,258.8351169645927,-26.60789783205067,5.053978889350891,4.828590869903564,5.282556056976318,4.222806453704834,1.059749603271484,168.1302779374897,4997.0127,0.81458086,0.334391,0.771518,0.8241641996479221,302.7588036307113,0.1073178191019269,0.9834489188848723,0.01097442089935939,0.1005684094140221,0.05777832328341696,0.7634872366446165,0.3800020170877917,0.5650087328529874,1.773764720596302,4.5379,-4.57408480884,6.266415926532147,HD_number_match,G,HD 155885,GJ 663,,PM*,GAIA,K1V,K1V,5.947768672408884,1,0,0,0,1.0
Gaia DR3 4109030160308320128,4109030160308320128,4109030160308320128,258.8341201781282,-26.6068066153994,5.058858574557305,4.831335067749023,5.287399768829346,4.229095458984375,1.058304309844971,168.003078856296,4991.236,0.8094933,0.3343426,0.7732727,0.824433121994637,303.857374296533,0.1079965394964106,0.9867341978977661,0.01099807791663608,0.1004863641195626,0.05790270120673847,0.7686744855247625,0.3807978093607899,0.5685803833380233,1.750714081180046,4.5376,-4.59456637743,5.794551318370877,HD_number_match,G,HD 155886,GJ 663,,PM*,GAIA,K2V,K2V,5.952271867918357,1,0,0,0,1.0
Gaia DR3 2623505219992303104,2623505219992303104,2623505219992303104,340.8380725457107,-6.402108803282873,8.082355416355133,7.812847137451172,8.313499450683594,7.15062141418457,1.162878036499023,46.33244237765348,4776.802,0.78605324,0.2871181,0.75104034,0.775235779595673,281.169361439991,0.1134842454380134,0.990796480186705,0.04397405077952542,0.3839240818295204,0.231528485837279,0.7498486652686539,0.3503361830308205,0.5975077357413495,1.855505169143659,4.5335,-4.94291347175,1.530254399923059,HD_number_match,K,HD 215152,GJ 4291,112190,PM*,GAIA,K3V,K3V,21.58314884091472,0,0,1,0,1.0
