,GAIA,name,method,year,period,radius,mass,k,ecc,peri,t0,t0_transit,i
105,Gaia DR3 3301771025223950336,HD 25463 b,Transit,2023,7.0491,2.62,8.6,2.515,0.0,90.0,,2458442.6182,
106,Gaia DR3 3301771025223950336,HD 25463 c,Transit,2023,3.044,1.3635,4.2,1.6,0.0,90.0,,2458438.4759,
107,Gaia DR3 3319126988068404096,HD 42618 b,Radial Velocity,2016,149.05,,14.7961,1.965,0.23,80.5,,2455170.6,
108,Gaia DR3 3380479015342121600,HD 50554 b,Radial Velocity,2002,1247.3,,1497.232,91.5,0.4915,7.4,2451858.5,2453200.5,61.0
109,Gaia DR3 3402798414192387328,HD 37124 b,Radial Velocity,2002,154.319,,206.5885,28.42,0.055,130.0,2450309.0,2454920.13,
110,Gaia DR3 3402798414192387328,HD 37124 c,Radial Velocity,2002,886.6,,205.635,15.65,0.14,265.0,2449534.0,2454937.0,
111,Gaia DR3 3402798414192387328,HD 37124 d,Radial Velocity,2005,1862.0,,215.3215,12.8,0.18,133.0,2449082.0,2454455.0,
112,Gaia DR3 3421680597955802624,HD 32963 b,Radial Velocity,2015,2368.0,,230.7434,11.21,0.07,105.0,2452999.0,2455371.0,19.3
113,Gaia DR3 3679242575447826432,HD 111998 b,Radial Velocity,2016,817.95,,1479.4948,87.6,0.08,51.35,2454997.65,,90.0
114,Gaia DR3 3684934540986187776,HD 114783 b,Radial Velocity,2001,495.3,,328.4584,29.42,0.113,89.5,2451833.8,2455283.8,
115,Gaia DR3 3684934540986187776,HD 114783 c,Radial Velocity,2018,4340.0,,209.4489,9.16,0.05,6.5,2456865.0,2454959.0,159.0
116,Gaia DR3 3721126409323324416,HR 5183 b,Radial Velocity,2019,38350.0,,1026.5909,37.76,0.875,-20.0,2458121.0,2458960.0,80.3
117,Gaia DR3 3732539683617410816,GJ 504 b,Imaging,2013,,12.1057,1271.3,,,,,,
118,Gaia DR3 3784271568265259904,HD 97037 b,Radial Velocity,2022,6449.0834,,6707.7685,59.443,0.357,109.386,2445839.855,,14.561
119,Gaia DR3 3802549437248150656,HD 92788 b,Radial Velocity,2000,325.7615,,1158.4904,106.1,0.35,272.0,2451737.504,2450581.2,
120,Gaia DR3 3802549437248150656,HD 92788 c,Radial Velocity,2019,9985.6488,,1029.767,30.995,0.4075,-30.855,2456858.0,2450140.0,
121,Gaia DR3 3812355294262255104,HD 99492 b,Radial Velocity,2004,17.0495,,26.7294,7.9,0.085,175.15,2450466.9475,2454297.94,
122,Gaia DR3 3812355294262255104,HD 99492 c,Radial Velocity,2023,95.233,,17.9,2.79,0.063,137.5,,,
123,Gaia DR3 3835743693290897152,HD 88072 b,Radial Velocity,2022,18538.7929,,2511.7979,10.765,0.156,272.477,2435160.614,,169.626
124,Gaia DR3 3886688327612984704,HD 89307 b,Radial Velocity,2009,2193.5,,650.5827,32.4,0.2205,29.0,2454556.0,,72.0
125,Gaia DR3 3905603054348141440,HD 106252 b,Radial Velocity,2002,1535.0,,2402.7948,142.9,0.48,292.2,2453397.5,,46.0
