,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,rv_trend_kms_DACE,nobs_DACE,vsini_DACE,rhk_DACE
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,G0V,0.0,22,,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,F8,0.041,4,8.23,
