,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
728,HD71640,Gaia DR3 3077874483161655552,HD71640,HIP41573,-,TIC265075778,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
729,HD64606,Gaia DR3 3082317193037072256,HD64606,HIP38625,GJ292.2,TIC123089572,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
730,HD52265,Gaia DR3 3101382419728401408,HD52265,HIP33719,-,TIC268565917,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
731,HD50281,Gaia DR3 3101923001490347392,HD50281,HIP32984,GJ250A,TIC282210766,-,-,K3.5V,,,,,,,,,,,,,,,,,,,0,
732,HD49503A,Gaia DR3 3102372804823185920,HD49503A,HIP32644,-,TIC36346568,-,-,F5/6V,,,,,,,,,,,,,,,,,,,0,
733,HD46871,Gaia DR3 3106739102936308224,HD46871,HIP31480,-,TIC52552168,-,-,-,,,,,,,,,,,,,,,,,,,0,
734,HD56303,Gaia DR3 3111942885310862848,HD56303,HIP35209,-,TIC284620820,-,-,G2V,63.0,7.34,5917.0,4.3,2.77,2032.0,2.37,16.0,4.002,,,,,,,,,,0,
735,HD51219,Gaia DR3 3113909602378333056,HD51219,HIP33382,-,TIC301780349,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
736,HD45067,Gaia DR3 3118434397663311360,HD45067,HIP30545,-,TIC42334982,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
737,HD44420,Gaia DR3 3118688251708604928,HD44420,HIP30243,-,TIC251216282,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
738,HD50867,Gaia DR3 3129765728281334016,HD50867,HIP33275,-,TIC237666892,-,-,F8,,,,,,,,,,,,,,,,,,,0,
739,HD46090,Gaia DR3 3130091149360313984,HD46090,HIP31083,-,TIC234831602,-,-,G3/5V,,,,,,,,,,,,,,,,,,,0,
740,HD44966,Gaia DR3 3131495878545906688,HD44966,HIP30513,-,TIC234568937,-,-,-,,,,,,,,,,,,,,,,,,,0,
741,HD66573,Gaia DR3 3146303001634267392,HD66573,HIP39506,-,TIC443846457,-,-,-,,,,,,,,,,,,,,,,,,,0,
742,HD63107,Gaia DR3 3148814698509975936,HD63107,HIP38021,-,TIC453207964,-,-,F8,,,,,,,,,,,,,,,,,,,0,
743,HD59432A,Gaia DR3 3163696107354305536,HD59432A,HIP36485,-,TIC247087539,-,-,-,,,,,,,,,,,,,,,,,,,0,
744,HD30743,Gaia DR3 3179824465465177984,HD30743,HIP22439,-,TIC114922178,-,-,-,,,,,,,,,,,,,,,,,,,0,
745,HD32724,Gaia DR3 3181805854137838464,HD32724,HIP23627,-,TIC43650034,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
746,HD30562,Gaia DR3 3188395880157173120,HD30562,HIP22336,GJ177.1,TIC176379354,-,-,G2IV,,,,,,,,,,,,,,,,,,,0,
747,HD26040,Gaia DR3 3190783297858653952,HD26040,HIP19206,-,TIC34269291,-,-,G1/2V,,,,,,,,,,,,,,,,,,,0,
748,40Eri,Gaia DR3 3195919528989223040,HD26965,HIP19849,GJ166A,TIC67772871,-, 40 Eri,K0V,31.0,4.43,5092.0,4.51,2.93,257.0,7.87,99.0,4.196,861.0,,36.0,47.0,2.57,2.57,2.34,,3.7,83,2.867
749,HD28821,Gaia DR3 3201236698501590272,HD28821,HIP21172,-,TIC248689603,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
750,HD26441,Gaia DR3 3203497397487659648,HD26441,HIP19508,-,TIC9264836,-,-,-,,,,,,,,,,,,,,,,,,,0,
751,HD28072,Gaia DR3 3205679721908034688,HD28072A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
752,HD35627,Gaia DR3 3208926854625048064,HD35627,HIP25388,-,TIC24722438,-,-,F8/G0V,,,,,,,,,,,,,,,,,,,0,
753,HD34991,Gaia DR3 3209949503518273024,HD34991,-,-,TIC4113275,-,-,-,,,,,,,,,,,,,,,,,,,0,
754,HD34239,Gaia DR3 3210312170555686272,HD34239,-,-,TIC249031125,-,-,-,,,,,,,,,,,,,,,,,,,0,
755,HD36003,Gaia DR3 3210731015768096000,HD36003,HIP25623,GJ204,TIC50587969,-,-,K5V,,,,,,,,,,,,,,,,,,,0,
756,HD32147,Gaia DR3 3211461469444773376,HD32147,HIP23311,GJ183,TIC213041474,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
757,HD31768,Gaia DR3 3212750058416680320,HD31768,HIP23116,-,TIC244258171,-,-,-,,,,,,,,,,,,,,,,,,,0,
758,HD34673A,Gaia DR3 3213958769587525888,HD34673A,HIP24819,GJ200A,TIC249076418,-,-,K3V,,,,,,,,,,,,,,,,,,,0,
759,HD37652,Gaia DR3 3217537886095855872,HD37652,-,-,TIC11298969,-,-,-,,,,,,,,,,,,,,,,,,,0,
760,HD39833,Gaia DR3 3218445979621236992,HD39833,HIP27980,-,TIC39292359,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
761,HD35947,Gaia DR3 3220137750059767680,HD35947,-,-,TIC50583801,-,-,-,,,,,,,,,,,,,,,,,,,0,
762,HD31738,Gaia DR3 3228407348810503168,HD31738,HIP23105,-,TIC452749710,-,-,-,,,,,,,,,,,,,,,,,,,0,
763,HD29356,Gaia DR3 3230677565443833088,HD29356,HIP21537,-,TIC262412747,-,-,F7/G0,,,,,,,,,,,,,,,,,,,0,
764,HD29355,Gaia DR3 3230677874682668672,HD29355,HIP21534,-,TIC262412757,-,-,F3/6,,,,,,,,,,,,,,,,,,,0,
765,HD34745,Gaia DR3 3234481566438473600,HD34745,HIP24864,-,TIC449310490,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
766,HD33636,Gaia DR3 3238810137558836352,HD33636,HIP24205,-,TIC262300150,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
767,HD31412,Gaia DR3 3239548665775613056,HD31412,HIP22919,GJ9169,TIC262501618,-,-,F9.5V,,,,,,,,,,,,,,,,,,,0,
768,HD34445,Gaia DR3 3241295308714904960,HD34445,HIP24681,-,TIC284907742,-,-,G0,,,,,,,,,,,,,,,,,,,0,
769,HD33313,Gaia DR3 3241699825915136768,HD33313,HIP24021,-,TIC408042385,-,-,F8,,,,,,,,,,,,,,,,,,,0,
770,HD24727,Gaia DR3 3246552451764804992,HD24727,HIP18388,-,TIC425164208,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
771,HD22879,Gaia DR3 3250489115709122560,HD22879,HIP17147,GJ147.1,TIC301564622,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
772,HD25457,Gaia DR3 3256786534197166208,HD25457,HIP18859,GJ159,TIC9150015,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
773,HD20385,Gaia DR3 3261733202649972992,HD20385,HIP15247,-,TIC49906916,-,-,-,,,,,,,,,,,,,,,,,,,0,
774,HD20619,Gaia DR3 3261878613062758144,HD20619,HIP15442,GJ135,TIC279069526,-,-,G1.5V,,,,,,,,,,,,,,,,,,,0,
775,10Tau,Gaia DR3 3263836568394170880,HD22484,HIP16852,GJ147,TIC311092847,-, 10 Tau,F9IV,,,,,,,,,,,,,,,,,,,0,
776,96Cet,Gaia DR3 3269362645115584640,HD20630,HIP15457,GJ137,TIC343813545,-, 96 Cet,G5V,,,,,,,,,,,,,,,,,,,0,
777,HD22255,Gaia DR3 3276017095645265664,HD22255,HIP16723,-,TIC274150483,-,-,F5,,,,,,,,,,,,,,,,,,,0,
778,HD27642,Gaia DR3 3280086388180617600,HD27642,HIP20373,-,TIC454150332,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
779,HD28069,Gaia DR3 3284145132275338496,HD28069,HIP20693,-,TIC448847484,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
780,HD26923,Gaia DR3 3285218186904332288,HD26923,HIP19859,-,TIC283792884,-,-,G0IV,,,,,,,,,,,,,,,,,,,0,
781,HD26913,Gaia DR3 3285218255623808640,HD26913,HIP19855,-,TIC283792891,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
782,pi.03Ori,Gaia DR3 3288921720025503360,HD30652,HIP22449,GJ178,TIC399665349,-,pi.03 Ori,F6V,,,,,,,,,,,,,,,,,,,0,
783,13Ori,Gaia DR3 3290765291786058496,HD33021,HIP23852,GJ3334,TIC284794221,-, 13 Ori,G3,56.0,6.15,5786.0,4.21,2.78,994.0,4.26,23.0,4.023,,,,,,,,,,0,
784,HD30311,Gaia DR3 3292800109852528512,HD30311,HIP22221,-,TIC450077414,-,-,F9.5V,,,,,,,,,,,,,,,,,,,0,
785,HD31253,Gaia DR3 3295354481521174656,HD31253,HIP22826,-,TIC436700755,-,-,F8,,,,,,,,,,,,,,,,,,,0,
786,HD29862,Gaia DR3 3295891077555760000,HD29862,HIP21918,-,TIC436564830,-,-,G5,,,,,,,,,,,,,,,,,,,0,
787,HD26990,Gaia DR3 3297396274614449920,HD26990,HIP19911,-,TIC283826260,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
788,HD26784,Gaia DR3 3300934223858467072,HD26784,HIP19796,-,TIC283751025,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
789,HD25463,Gaia DR3 3301771025223950336,HD25463,HIP18893,-,TIC407966340,-,-,F8,,,,,,,,,,,,,,,,,,,0,
790,HD26749,Gaia DR3 3304387519299731200,HD26749,HIP19767,-,TIC434229814,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
791,HD28608,Gaia DR3 3305871825637254912,HD28608,HIP21066,-,TIC373052731,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
792,HD28237,Gaia DR3 3306922958753764992,HD28237,HIP20826,-,TIC373027194,-,-,F8,,,,,,,,,,,,,,,,,,,0,
793,HD29310,Gaia DR3 3309493720019304576,HD29310,HIP21543,-,TIC245902283,-,-,G0,,,,,,,,,,,,,,,,,,,0,
794,HD29247,Gaia DR3 3309508803943800960,HD29247,-,-,TIC245899082,-,-,-,,,,,,,,,,,,,,,,,,,0,
795,HD27836,Gaia DR3 3311151233797884416,HD27836,HIP20553,-,TIC435939639,-,-,-,,,,,,,,,,,,,,,,,,,0,
796,HD27691A,Gaia DR3 3311221224583178368,HD27691A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
797,55Tau,Gaia DR3 3312324550143212288,HD27383,HIP20215,-,TIC435911720,-, 55 Tau,F8V,,,,,,,,,,,,,,,,,,,0,
798,HD28205,Gaia DR3 3312709379213017728,HD28205,HIP20815,-,TIC245786953,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
799,HD28034,Gaia DR3 3312751882209460864,HD28034,-,-,TIC60879815,-,-,-,,,,,,,,,,,,,,,,,,,0,
800,HD28363,Gaia DR3 3312892757136810880,HD28363,HIP20916,-,TIC456892231,-,-,-,,,,,,,,,,,,,,,,,,,0,
801,HD43587,Gaia DR3 3317901165746471552,HD43587,HIP29860,GJ231.1A,TIC265361101,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
802,HD42618,Gaia DR3 3319126988068404096,HD42618,HIP29432,GJ3387,TIC153289168,-,-,G4V,,,,,,,,,,,,,,,,,,,0,
803,HD40616,Gaia DR3 3321405313598316544,HD40616,HIP28428,-,TIC282498936,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
804,HD45759,Gaia DR3 3326288347818354048,HD45759,HIP30939,-,TIC207004850,-,-,-,,,,,,,,,,,,,,,,,,,0,
805,HD47157,Gaia DR3 3326573774163806336,HD47157,HIP31655,-,TIC220204291,-,-,G5IV,,,,,,,,,,,,,,,,,,,0,
806,HD42807,Gaia DR3 3330062833797919744,HD42807,HIP29525,GJ230,TIC153498031,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
807,HD44985,Gaia DR3 3330686669209149824,HD44985,HIP30552,-,TIC206680304,-,-,F8,67.0,7.01,5983.0,4.36,3.38,1462.0,3.71,17.0,3.98,,,,,,,,,,0,
808,HD35956,Gaia DR3 3340966243931480448,HD35956,HIP25662,GJ3347,TIC302492175,-,-,-,,,,,,,,,,,,,,,,,,,0,
809,HD41304,Gaia DR3 3345374529646941824,HD41304,HIP28813,-,TIC151236987,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
810,HD41593,Gaia DR3 3345968334645285376,HD41593,HIP28954,GJ227,TIC415563103,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
811,HD39881,Gaia DR3 3346787986201584896,HD39881,HIP28066,GJ224,TIC91928222,-,-,G2V,54.0,6.6,5770.0,4.39,2.92,966.0,4.39,45.0,4.031,,,,,,,,,,0,
812,HD41640,Gaia DR3 3349058065397818880,HD41640,HIP29001,-,TIC151412067,-,-,F5,,,,,,,,,,,,,,,,,,,0,
813,HD47218,Gaia DR3 3351909270848425984,HD47218,-,-,TIC220211279,-,-,-,,,,,,,,,,,,,,,,,,,0,
814,HD47127,Gaia DR3 3352152743956693376,HD47127,HIP31660,-,TIC307943195,-,-,G5,,,,,,,,,,,,,,,,,,,0,
815,eGemB,Gaia DR3 3353254695123859456,HD50635B,-,GJ9220B,TIC155463741,-,e Gem B,-,,,,,,,,,,,,,,,,,,,0,
816,HD58781,Gaia DR3 3362649918901844608,HD58781,HIP36249,-,TIC60847893,-,-,G5,66.0,7.24,5582.0,4.37,2.77,1440.0,3.39,23.0,3.981,,,,,,,,,,0,
817,HD268518,Gaia DR3 3366754464528540416,HD268518,-,-,TIC436942358,-,-,-,,,,,,,,,,,,,,,,,,,0,
818,HD43947,Gaia DR3 3369088315397965056,HD43947,HIP30067,-,TIC59545062,-,-,F8V,58.0,6.61,5963.0,4.33,2.81,1164.0,3.8,39.0,4.016,,,,,,,,,,0,
819,HD45580,Gaia DR3 3369744964358573824,HD45580,HIP30890,-,TIC438406511,-,-,G0,,,,,,,,,,,,,,,,,,,0,
820,HD48565,Gaia DR3 3378123861436589952,HD48565,HIP32329,-,TIC56748852,-,-,-,,,,,,,,,,,,,,,,,,,0,
821,HD51419,Gaia DR3 3379989457790428416,HD51419,HIP33537,-,TIC58853031,-,-,G5V,,,,,,,,,,950.0,,32.0,55.0,,1.0,1.12,,1.34,87,1.113
822,HD50554,Gaia DR3 3380479015342121600,HD50554,HIP33212,-,TIC80224448,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
823,HD49736,Gaia DR3 3381634224106876672,HD49736,HIP32874,-,TIC87345713,-,-,F8,,,,,,,,,,,,,,,,,,,0,
824,37Gem,Gaia DR3 3381727613874753536,HD50692,HIP33277,GJ252,TIC80226651,-, 37 Gem,G0V,19.0,5.76,5913.0,4.39,2.6,642.0,3.2,81.0,4.287,952.0,,31.0,57.0,,1.49,2.32,,2.84,88,2.057
825,HD47415,Gaia DR3 3383000539103328768,HD47415,HIP31850,-,TIC284327831,-,-,F8IV,,,,,,,,,,,,,,,,,,,0,
826,HD34720,Gaia DR3 3390105617599972992,HD34720,HIP24883,-,TIC412155045,-,-,-,,,,,,,,,,,,,,,,,,,0,
827,HD32259,Gaia DR3 3391729905511044864,HD32259,HIP23443,-,TIC303676180,-,-,G0,,,,,,,,,,,,,,,,,,,0,
828,HD32851,Gaia DR3 3392062194249991040,HD32851,HIP23789,-,TIC293607951,-,-,-,,,,,,,,,,,,,,,,,,,0,
829,HD31966,Gaia DR3 3392510077730740480,HD31966,HIP23286,GJ182.1,TIC389136129,-,-,G2IV,,,,,,,,,,,,,,,,,,,0,
830,HD36667,Gaia DR3 3396074866228403584,HD36667,HIP26100,-,TIC52289473,-,-,F8,,,,,,,,,,,,,,,,,,,0,
831,HD37588,Gaia DR3 3396559029302501632,HD37588,HIP26689,-,TIC127232950,-,-,F5,,,,,,,,,,,,,,,,,,,0,
832,54Ori,Gaia DR3 3399063235755057792,HD39587,HIP27913,GJ222,TIC114776214,-,chi01 Ori,G0V,,,,,,,,,,,,,,,,,,,0,
833,111Tau,Gaia DR3 3400292798990117888,HD35296,HIP25278,GJ202,TIC47346402,-,111 Tau,-,,,,,,,,,,,,,,,,,,,0,
834,HD37124,Gaia DR3 3402798414192387328,HD37124,HIP26381,GJ209,TIC19631691,-,-,G4IV,,,,,,,,,,,,,,,,,,,0,
835,HD30974,Gaia DR3 3404724758562462080,HD30974,HIP22688,-,TIC436670062,-,-,G0,,,,,,,,,,,,,,,,,,,0,
836,HD30738,Gaia DR3 3405220088550711808,HD30738,HIP22524,-,TIC436656073,-,-,F8,,,,,,,,,,,,,,,,,,,0,
837,HD30676,Gaia DR3 3406103958460672768,HD30676,HIP22496,-,TIC436650260,-,-,-,,,,,,,,,,,,,,,,,,,0,
838,104Tau,Gaia DR3 3407611182744289152,HD32923,HIP23835,GJ188,TIC27136704,-,104 Tau,G1V,,,,,,,,,,,,,,,,,,,0,
839,HD29836,Gaia DR3 3409686510941439104,HD29836,HIP21923,-,TIC397354131,-,-,G5,,,,,,,,,,,,,,,,,,,0,
840,HD30455,Gaia DR3 3409827042271407232,HD30455,HIP22349,-,TIC18583347,-,-,-,,,,,,,,,,,,,,,,,,,0,
841,HD31409,Gaia DR3 3413361864785417088,HD31409,HIP22972,-,TIC68681786,-,-,-,,,,,,,,,,,,,,,,,,,0,
842,HD32092,Gaia DR3 3420438360271164288,HD32092,HIP23395,-,TIC308569032,-,-,-,,,,,,,,,,,,,,,,,,,0,
843,HD32963,Gaia DR3 3421680597955802624,HD32963,HIP23884,-,TIC69528586,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
844,HD33252,Gaia DR3 3422042582096699520,HD33252,HIP24046,-,TIC69760570,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
845,HD37648,Gaia DR3 3428662329291965056,HD37648,HIP26761,-,TIC75432545,-,-,-,,,,,,,,,,,,,,,,,,,0,
846,HD40001,Gaia DR3 3451146478788019200,HD40001,HIP28212,-,TIC309265383,-,-,F8,,,,,,,,,,,,,,,,,,,0,
847,HD41330,Gaia DR3 3453257133093515648,HD41330,HIP28908,GJ226.3,TIC400316888,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
848,HD38230,Gaia DR3 3456337827237371264,HD38230,HIP27207,GJ217,TIC426400173,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
849,HD108215,Gaia DR3 3527541135097360640,HD108215,HIP60665,-,TIC334968821,-,-,-,,,,,,,,,,,,,,,,,,,0,
850,HD108799A,Gaia DR3 3528362362908431616,HD108799A,-,GJ469.2A,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
851,HD111031,Gaia DR3 3529518709839090176,HD111031,HIP62345,GJ3746,TIC288529330,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
852,HD99610,Gaia DR3 3562275841290443520,HD99610,HIP55900,-,TIC334895388,-,-,G4V,,,,,,,,,,,,,,,,,,,0,
853,HD105590A,Gaia DR3 3574377616021489024,HD105590A,-,GJ9390A,TIC152854208,-,-,G4,,,,,,,,,,,,,,,,,,,0,
854,HD104304,Gaia DR3 3575733210781078016,HD104304,HIP58576,GJ454,TIC152738837,-,-,G8IV,,,,,,,,,,,,,,,,,,,0,
855,HD108510,Gaia DR3 3579784327012046336,HD108510,HIP60816,-,TIC368438895,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
856,24Crt,Gaia DR3 3585098090614578688,HD101198,HIP56802,GJ3677,TIC40535161,-, 24 Crt,F6.5V,,,,,,,,,,,,,,,,,,,0,
857,HD101472,Gaia DR3 3591819100253606784,HD101472,HIP56960,-,TIC185260035,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
858,HD106116,Gaia DR3 3598278250031419008,HD106116,HIP59532,GJ458.1,TIC56812239,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
859,HD103459,Gaia DR3 3602296587073060224,HD103459,HIP58093,-,TIC421194567,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
860,HD119638,Gaia DR3 3606091998132474752,HD119638,HIP67069,-,TIC290058172,-,-,F8.5V,,,,,,,,,,,,,,,,,,,0,
861,HD121325A,Gaia DR3 3618910139048607616,HD121325A,-,-,-,-,-,F5e?,,,,,,,,,,,,,,,,,,,0,
862,HD121325B,Gaia DR3 3618910139048607744,HD121325B,-,-,-,-,-,F8e,,,,,,,,,,,,,,,,,,,0,
863,HD115080,Gaia DR3 3621929501058107264,HD115080,HIP64638,-,TIC135041892,-,-,G1.5V,,,,,,,,,,,,,,,,,,,0,
864,HD112758,Gaia DR3 3626268998574790656,HD112758,HIP63366,GJ491A,TIC319462683,-,-,G9V,,,,,,,,,,,,,,,,,,,0,
865,HD117860,Gaia DR3 3630099250409312640,HD117860,HIP66115,-,TIC619444,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
866,HD117126,Gaia DR3 3638745672411053952,HD117126,HIP65708,-,TIC115071316,-,-,G3/5V,,,,,,,,,,,,,,,,,,,0,
867,HD125906B,Gaia DR3 3639520621950395776,HD125906B,-,-,TIC6131663,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
868,HD125906A,Gaia DR3 3639520621950395904,HD125906A,HIP70269,-,TIC6131661,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
869,HD125184,Gaia DR3 3639760521643499776,HD125184,HIP69881,GJ541.1,TIC6041460,-,-,G5/6V,,,,,,,,,,,,,,,,,,,0,
870,HD124553,Gaia DR3 3640929611741605632,HD124553,HIP69564,-,TIC147757234,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
871,HD125455,Gaia DR3 3642413746280598784,HD125455,HIP70016,GJ544A,TIC203230367,-,-,K1V,88.0,7.58,5103.0,4.54,2.65,1606.0,3.65,45.0,3.898,,,,,,,,,,0,
872,HD122040,Gaia DR3 3644581708332456192,HD122040,HIP68348,-,TIC119144235,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
873,HD124292,Gaia DR3 3646061719703116032,HD124292,HIP69414,GJ3830,TIC147718994,-,-,G8/K0V,42.0,7.05,5458.0,4.48,2.55,1094.0,3.0,35.0,4.121,,,,,,,,,,0,
874,HD126053,Gaia DR3 3654496279558010624,HD126053,HIP70319,GJ547,TIC446436963,-,-,G1.5V,36.0,6.25,5714.0,4.54,2.13,660.0,3.8,80.0,4.16,928.0,,26.0,75.0,,1.46,1.41,,,101,1.438
875,HD126961,Gaia DR3 3656209284314369664,HD126961,HIP70782,-,TIC402202339,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
876,HD118330,Gaia DR3 3662563220276768640,HD118330,HIP66367,-,TIC157838901,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
877,HD122603,Gaia DR3 3670763725889736832,HD122603,HIP68619,-,TIC420652395,-,-,F8/G0IV,,,,,,,,,,,,,,,,,,,0,
878,HD110223,Gaia DR3 3675297081050489088,HD110223,HIP61858,-,TIC32479528,-,-,F5V,,,,,,,,,,,,,,,,,,,0,
879,38Vir,Gaia DR3 3679242575447826432,HD111998,HIP62875,GJ9421,TIC53304943,-, 38 Vir,F6V,,,,,,,,,,,,,,,,,,,0,
880,HD109756,Gaia DR3 3683160646477904512,HD109756,HIP61578,-,TIC175378162,-,-,-,,,,,,,,,,,,,,,,,,,0,
881,HD114783,Gaia DR3 3684934540986187776,HD114783,HIP64457,GJ3769,TIC292113181,-,-,K1V,,,,,,,,,,,,,,,,,,,0,
882,HD109098,Gaia DR3 3695295342134266368,HD109098,HIP61173,-,TIC130637818,-,-,G3/5V,,,,,,,,,,,,,,,,,,,0,
883,HD111470,Gaia DR3 3705830175356997632,HD111470,HIP62585,-,TIC380698607,-,-,F8,,,,,,,,,,,,,,,,,,,0,
884,HD116442,Gaia DR3 3712538708114516736,HD116442,HIP65352,GJ3781,TIC393713800,-,-,G9V,37.0,7.06,5155.0,4.54,2.13,982.0,2.8,56.0,4.152,914.0,,22.0,66.0,,0.74,0.61,,0.73,88,0.652
885,HD116443,Gaia DR3 3712538811193759744,HD116443,HIP65355,GJ3782,TIC393713801,-,-,K2V,78.0,7.35,5001.0,4.57,2.16,1266.0,3.71,92.0,3.938,,,,,,,,,,0,
886,HD120066,Gaia DR3 3721126409323324416,HD120066,HIP67246,-,TIC379117362,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
887,HD122742,Gaia DR3 3724242219117947904,HD122742,HIP68682,GJ538,TIC457880598,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
888,HD119825A,Gaia DR3 3725137908777154432,HD119825A,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
889,HD114174,Gaia DR3 3729017810434416128,HD114174,HIP64150,GJ9429,TIC381726125,-,-,G3IV,,,,,,,,,,,,,,,,,,,0,
890,EVir,Gaia DR3 3732539683617410816,HD115383,HIP64792,GJ504,TIC397587084,-,E Vir,G0V,,,,,,,,,,,,,,,,,,,0,
891,HD91789,Gaia DR3 3750828405982624768,HD91789,HIP51860,-,TIC296940878,-,-,-,,,,,,,,,,,,,,,,,,,0,
892,HD92719,Gaia DR3 3750995604764854400,HD92719,HIP52369,-,TIC391844777,-,-,G1.5V,70.0,6.79,5796.0,4.47,2.46,1066.0,4.27,66.0,3.97,,,,,,,,,,0,
893,HD94268,Gaia DR3 3757749354938381824,HD94268,HIP53186,-,TIC55222124,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
894,HD91962,Gaia DR3 3762120497774235648,HD91962A,HIP51966,-,TIC321289619,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
895,HD94280,Gaia DR3 3764461667267464192,HD94280,HIP53196,-,TIC55172317,-,-,G0/1V,,,,,,,,,,,,,,,,,,,0,
896,20Sex,Gaia DR3 3772450512596239616,HD88697,HIP50100,GJ9321,TIC26261696,-, 20 Sex,F7V,,,,,,,,,,,,,,,,,,,0,
897,HD87359,Gaia DR3 3773112865272176512,HD87359,HIP49350,-,TIC26074881,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
898,HD91638,Gaia DR3 3777944634761425792,HD91638,HIP51784,-,TIC124534956,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
899,HD97037,Gaia DR3 3784271568265259904,HD97037,HIP54582,-,TIC143046056,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
900,HD99126,Gaia DR3 3785617095619705856,HD99126,HIP55666,-,TIC285930023,-,-,-,,,,,,,,,,,,,,,,,,,0,
901,HD99865,Gaia DR3 3786240278194454144,HD99865A,HIP56049,-,-,-,-,-,,,,,,,,,,,,,,,,,,,0,
902,HD98281,Gaia DR3 3786697056556771584,HD98281,HIP55210,GJ423.1,TIC38086286,-,-,G8V,85.0,7.29,5381.0,4.52,2.55,1338.0,4.17,68.0,3.901,,,,,,,,,,0,
903,HD96064,Gaia DR3 3789271459953459328,HD96064,HIP54155,-,TIC53178075,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
904,HD98427A,Gaia DR3 3790864411783833600,HD98427A,HIP55288,-,TIC38114367,-,-,-,,,,,,,,,,,,,,,,,,,0,
905,HD101093,Gaia DR3 3793829313607800064,HD101093,HIP56738,-,TIC49454591,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
906,HD102634,Gaia DR3 3794824028033991936,HD102634,HIP57629,-,TIC78272071,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
907,HD99739,Gaia DR3 3800325090865568640,HD99739,HIP55982,-,TIC363573014,-,-,-,,,,,,,,,,,,,,,,,,,0,
908,HD92788,Gaia DR3 3802549437248150656,HD92788,HIP52409,-,TIC169248301,-,-,G6V,,,,,,,,,,,,,,,,,,,0,
909,HD96937,Gaia DR3 3811594088617869056,HD96937,HIP54541,GJ3644,TIC301560849,-,-,G8V,,,,,,,,,,,,,,,,,,,0,
