,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
600,chiCetB,Gaia DR3 2461045711199481472,HD11131,HIP8486,GJ9061B,TIC24910401,-,chi Cet B,G3V,,,,,,,,,,,,,,,,,,,0,
601,HD11226,Gaia DR3 2467122570235222016,HD11226,HIP8548,-,TIC24921603,-,-,K4III,,,,,,,,,,,,,,,,,,,0,
602,HD7134,Gaia DR3 2468607533700284800,HD7134,HIP5578,-,TIC167460086,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
603,HD7661,Gaia DR3 2468730472844294016,HD7661,HIP5938,-,TIC439410069,-,-,K0V,,,,,,,,,,,,,,,,,,,0,
604,phi02Cet,Gaia DR3 2473608009504466688,HD4813,HIP3909,GJ37,TIC3962869,-,phi02 Cet,F7V,,,,,,,,,,,,,,,,,,,0,
605,HD10008,Gaia DR3 2477815222028038272,HD10008,HIP7576,-,TIC29900813,-,-,K0/1V,,,,,,,,,,,,,,,,,,,0,
606,HD9562,Gaia DR3 2477891500647336704,HD9562,HIP7276,GJ59.2,TIC29845542,-,-,G1V,89.0,5.75,3837.0,4.02,3.0,1678.0,3.78,30.0,3.892,,,,,,,,,,0,
607,HD7449,Gaia DR3 2482820714353923072,HD7449,HIP5806,-,TIC248381971,-,-,F9.5V,,,,,,,,,,,,,,,,,,,0,
608,HD14938,Gaia DR3 2490426551679224064,HD14938,HIP11218,-,TIC251057639,-,-,-,,,,,,,,,,,,,,,,,,,0,
609,79Cet,Gaia DR3 2495335115182966016,HD16141,HIP12048,GJ9085,TIC251109533,-, 79 Cet,G2V,,,,,,,,,,,,,,,,,,,0,
610,84CetA,Gaia DR3 2498460442625153536,HD16765A,-,-,-,-, 84 Cet A,-,,,,,,,,,,,,,,,,,,,0,
611,HD11505,Gaia DR3 2505825177666430592,HD11505,HIP8798,-,TIC328159699,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
612,HD13043,Gaia DR3 2506906787870475904,HD13043,HIP9911,GJ9073A,TIC250419029,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
613,HD9670,Gaia DR3 2510183229442059776,HD9670,HIP7357,-,TIC262809788,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
614,112Psc,Gaia DR3 2511794495013074048,HD12235,HIP9353,GJ83.2,TIC422679659,-,112 Psc,G2IV,,,,,,,,,,,,,,,,,,,0,
615,HD14214,Gaia DR3 2513664248895784192,HD14214,HIP10723,-,TIC419994887,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
616,HD13345,Gaia DR3 2520146866373897472,HD13345,-,-,TIC337046360,-,-,G0,,,,,,,,,,,,,,,,,,,0,
617,HD3770,Gaia DR3 2523208078545561088,HD3770,HIP3169,-,TIC3811994,-,-,F8V,,,,,,,,,,,,,,,,,,,0,
618,HD3821A,Gaia DR3 2523361151179609344,HD3821A,HIP3203,GJ9020A,TIC3816118,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
619,HD5975,Gaia DR3 2525176376157018112,HD5975,HIP4747,-,TIC398570795,-,-,G0V,,,,,,,,,,,,,,,,,,,0,
620,HD4915,Gaia DR3 2525514785221197696,HD4915,HIP3979,-,TIC333606239,-,-,G5V,95.0,6.98,5668.0,4.56,2.72,1118.0,5.45,40.0,3.868,,,,,,,,,,0,
621,HD4449,Gaia DR3 2525804540894629504,HD4449,HIP3645,-,TIC333541953,-,-,K0/1V,,,,,,,,,,,,,,,,,,,0,
622,40Cet,Gaia DR3 2531792756096759296,HD7727,HIP5985,-,TIC248387672,-, 40 Cet,G2V,,,,,,,,,,,,,,,,,,,0,
623,HD6651A,Gaia DR3 2532795304542721280,HD6651A,-,-,TIC248345334,-,-,-,,,,,,,,,,,,,,,,,,,0,
624,HD633,Gaia DR3 2546769822454212992,HD633,HIP870,-,TIC427330376,-,-,F(6)V,,,,,,,,,,,,,,,,,,,0,
625,HD4271,Gaia DR3 2549045055609126784,HD4271,HIP3540,-,TIC257558320,-,-,F7/8V,,,,,,,,,,,,,,,,,,,0,
626,HD3628,Gaia DR3 2550696212836482944,HD3628,HIP3086,-,TIC328030874,-,-,G3V,,,,,,,,,,,,,,,,,,,0,
627,HD5694,Gaia DR3 2551759337501198848,HD5694,HIP4582,-,TIC344656221,-,-,F6V,,,,,,,,,,,,,,,,,,,0,
628,77PscB,Gaia DR3 2552059469815827456,HD6480,HIP5144,-,TIC344755786,-, 77 Psc B,F5/7(V,,,,,,,,,,,,,,,,,,,0,
