source_id,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],RV precision [m/s],HZ Detection Limit [M_Earth],Density [Solar unit],logg_gaia,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],V_mag_group
2452378776434477184,2452378776434276992,2452378776434477184,26.0090550571601,-15.93368020069386,3.571155598571301,3.300399780273438,3.799520492553711,2.748299360275269,1.051221132278442,273.8097451185997,5420.00849935214,0.81,0.4528975560350175,0.914,0.9311760584035242,0.03679153671820569,0.3573654978875611,1.060831560138101,,F,HD  10700,"GJ 71.0, GJ 71",8102,HighPM*,SIMBAD + empirical,G8V,G8V,3.652170961142577,Brightest
4847957293278177024,4847957293277762560,4847957293278177024,50.00034361894219,-43.06655252783423,4.063914775848389,4.063914775848389,4.440890789031982,3.508292675018311,0.9325981140136719,165.5242095575573,5427.3184,0.88599557,0.64640737,0.9096495,1.111889052176481,0.04632668239999019,0.5142615755725379,1.177088983194154,4.4433,G,HD  20794,GJ 139,15510,HighPM*,GAIA,G6V,G6V,6.041412326770681,Brightest
6427464123776727168,6427464325637241728,6427464123776727168,302.1950398892303,-66.18709128441725,3.618788456735611,3.364138126373291,3.846358299255371,2.827079772949219,1.019278526306152,163.9544145383167,5437.5474,0.98,1.2535083,1.2615935,1.547245304479099,0.03792613478839159,0.5223210774584878,0.4880538549496394,4.3012,G,HD 190248,GJ 780,99240,HighPM*,GAIA,G8IV,G8IV,6.099256325704463,Brightest
4683897617110115200,,4683897617110115200,6.482504988433097,-77.25279546754571,2.680731773376465,2.680731773376465,3.295626401901245,2.37148904800415,0.9241373538970947,133.7194055667135,5874.894247741169,1.17,3.597493161962369,1.1,2.542567027531133,0.02970932008718879,0.5730970378051405,0.8790383170548457,,F,HD   2151,GJ 19,2021,HighPM*,SIMBAD + empirical,G0V,G0V,7.478346136538074,
1237090738916392704,1237090738916392704,1237090738916392704,222.8480514738455,19.10026964007245,4.480482578277588,4.480482578277588,4.869547367095947,3.944435834884644,0.9251115322113037,148.0694994523836,5386.0786,0.9037054,0.5541511,0.85529965,1.032484296728837,0.05500759003738289,0.5942705497844863,1.444348499026279,4.4925,G,HD 131156A,GJ 566 A,,HighPM*,GAIA,G7Ve,G7V,6.753585334578522,Bright
3507879565090229888,3507879565090229888,3507879565090229888,199.596298132351,-18.31592210064546,4.532528400421143,4.532528400421143,4.904673099517822,4.006235122680664,0.8984379768371582,117.1726460991387,5571.858150027292,0.89668727,0.8442275,0.99628156,1.257840563829366,0.06146555734838024,0.7300820152495111,0.906764956917385,,G,HD 115617,GJ 506,64924,HighPM*,GAIA,G6.5V,G6.5V,8.534415098502675,Bright
4900108950849461248,4900108950847893376,4900108950849461248,5.03560954742747,-64.86961713712722,4.07351016998291,4.07351016998291,4.369476795196533,3.600200653076172,0.7692761421203613,116.1825785409811,5857.8096,1.0179046,1.2848463,1.0974233,1.52126497433242,0.05604877905474265,0.7800611033349383,0.7701663629538618,4.2769,F,HD   1581,GJ 17,1599,HighPM*,GAIA,F9.5V,F9.5V,8.607142418062878,Brightest
3399063235755057792,3399063235753901952,3399063235755057792,88.59482419468164,20.27585214802184,4.24168586730957,4.24168586730957,4.544131755828857,3.747902393341064,0.796229362487793,114.9496607477911,5808.179,1.0000995,1.126165,1.0480603,1.429087692864052,0.05938884133129865,0.7940766210495289,0.8687291588668976,4.3354,F,HD  39587,GJ 222,27913,SB*,GAIA,G0V,G0V,8.699460211492765,Bright
5381537023379295232,5381537023379295232,5381537023379295232,176.6205205763661,-40.4985651456299,4.701675891876221,4.701675891876221,5.051711559295654,4.195355892181396,0.8563556671142578,107.3024338562276,5538.9297,0.92678267,0.85971,0.9857168,1.272258329323027,0.0654680790993868,0.7950835287355834,0.9676569692153486,4.3867,F,HD 102365,GJ 442 A,57443,HighPM*,GAIA,G2V,G2V,9.319453101500756,Bright
1460229442589223424,1460229369573307264,1460229442589223424,197.9642816133702,27.8821053725246,4.093278884887695,4.093278884887695,4.387678146362305,3.625619411468506,0.7620587348937988,108.7250092052496,5899.0034,1.0293616,1.4362096,1.1473675,1.603865938447064,0.05746896525823462,0.8258628100671315,0.681491323520846,4.3304,F,HD 114710,GJ 502,64394,HighPM*,GAIA,F9.5V,F9.5V,9.197515891787267,Brightest
3269362645115584640,3269362645115584640,3269362645115584640,49.84160069317885,3.37061619080235,4.656490325927734,4.656490325927734,5.013450622558594,4.154510498046875,0.8589401245117188,107.8023393880993,5701.643273702021,0.97,0.8241381439688155,0.977,1.231569142153101,0.06882898114137262,0.8413819057321397,1.040131006837925,,,HD  20630,GJ 137,15457,BYDraV*,SIMBAD + empirical,G5V,G5V,9.276236542510446,Bright
5264749303462961280,5264749303461634816,5264749303462961280,92.56235755341913,-74.75398809344104,4.900140285491943,4.900140285491943,5.256069183349609,4.368094921112061,0.8879742622375488,97.9157940060883,5495.937,0.9343642,0.840269,0.9727301,1.261596619610567,0.07033284901631132,0.8540497197840246,1.015170819471681,4.3686,F,HD  43834,GJ 231,29271,HighPM*,GAIA,G7V,G7V,10.21285697726989,Bright
