Name,SpT,Temperature,Vmag,Jmag
,,6154.11,3.087921619415283,
,,7498.3286,3.1209731101989746,
,,5726.01,3.3200666904449463,
,,5437.5474,3.364138126373291,
,,6740.179,3.4332993030548096,
,,5002.0435,3.465751886367798,
,,6000.8833,3.468564987182617,
,,6149.223,3.476823091506958,
,,6887.405,3.6358559131622314,
,,6316.102,3.6638712882995605,
,,6182.6055,3.6944260597229004,
,,6080.855,3.8014392852783203,
,,5873.7397,3.902639150619507,
,,6786.9897,3.9097652435302734,
,,6135.789,3.917229175567627,
,,6532.6333,3.9498889446258545,
,,6096.4243,3.9661331176757812,
,,6281.219,3.983001232147217,
,,5204.636,3.9873640537261963,
,,6149.203,3.999257802963257,
,,5427.3184,4.063914775848389,
,,5857.8096,4.07351016998291,
,,6313.346,4.078641414642334,
,,6092.6636,4.089133262634277,
,,5899.0034,4.093278884887695,
,,5761.42,4.094672203063965,
,,6483.9487,4.113062381744385,
,,5905.6396,4.1410932540893555,
,,6746.5283,4.209556579589844,
,,5808.179,4.24168586730957,
,,4560.303,4.322904109954834,
,,6255.476,4.330868244171143,
,,6319.2407,4.356020927429199,
,,6578.421,4.371612071990967,
,,5748.618,4.424264907836914,
,,6353.532,4.465012550354004,
,,5386.0786,4.480482578277588,
,,6596.695,4.520535469055176,
,,5761.5337,4.525884628295898,
,,6038.381,4.550013065338135,
,,6066.204,4.673892021179199,
,,5538.9297,4.701675891876221,
,,6274.9985,4.7305097579956055,
,,5655.869,4.732456684112549,
,,5957.2573,4.743967533111572,
,,6115.5513,4.763619422912598,
,,4353.7437,4.7667131423950195,
,,6030.947,4.772147178649902,
,,6210.112,4.788322448730469,
,,5777.9346,4.800437927246094,
,,6456.2046,4.8022990226745605,
,,6281.1714,4.804226875305176,
,,5980.5386,4.8279194831848145,
,,4997.0127,4.8285908699035645,
,,4991.236,4.831335067749023,
,,6065.778,4.850188255310059,
,,5763.587,4.866588115692139,
,,5495.937,4.900140285491943,
,,6455.563,4.916410446166992,
,,6421.102,4.940165996551514,
,,5590.9136,4.942751884460449,
,,5925.4526,4.947728157043457,
,,5465.647,4.971371650695801,
,,6019.515,4.976175308227539,
,,6195.425,4.988862037658691,
,,5092.744,4.999680042266846,
,,6112.7383,5.029543399810791,
,,5930.7803,5.039839744567871,
,,5765.0996,5.07960844039917,
,,5975.6455,5.105545520782471,
,,5394.317,5.110995292663574,
,,5844.264,5.174064636230469,
,,5714.2935,5.194013595581055,
,,5455.0293,5.200430870056152,
,,5759.9775,5.204957485198975,
,,5630.0605,5.209874629974365,
,,5723.8506,5.215096950531006,
,,5780.66,5.230531692504883,
,,5708.916,5.232800006866455,
,,6158.534,5.247616767883301,
,,6006.4995,5.256284236907959,
,,5662.524,5.283212184906006,
,,5182.5312,5.301429271697998,
,,5678.4277,5.327651023864746,
,,5630.648,5.344615936279297,
,,5510.1235,5.355077266693115,
,,4503.0303,5.364036560058594,
,,6011.649,5.383109092712402,
,,5777.554,5.388160228729248,
,,5690.858,5.391417026519775,
,,5886.4585,5.442085266113281,
,,3889.6328,5.450644493103027,
,,4859.2896,5.467689037322998,
,,4978.235,5.481349945068359,
,,5620.91,5.482170104980469,
,,5044.24,5.508301734924316,
,,5855.533,5.511580467224121,
,,5435.3867,5.552786827087402,
,,5106.7,5.55355167388916,
,,5819.5,5.602783679962158,
,,4902.265,5.625487327575684,
,,5693.858,5.645046710968018,
,,5852.927,5.6452460289001465,
,,5110.9243,5.6543192863464355,
,,5579.6113,5.7004475593566895,
,,5872.434,5.729347229003906,
,,5184.4775,5.732680797576904,
,,6044.928,5.732926368713379,
,,5225.1025,5.73832368850708,
,,5361.131,5.755219459533691,
,,5750.9917,5.7566819190979,
,,4996.135,5.766141414642334,
,,5841.451,5.803025245666504,
,,5773.3975,5.805398464202881,
,,5647.247,5.805881023406982,
,,5877.378,5.809061527252197,
,,5002.332,5.812265396118164,
,,5851.937,5.819591999053955,
,,5540.079,5.833835601806641,
,,5656.338,5.846634864807129,
,,4794.6724,5.868165969848633,
,,5405.125,5.878326892852783,
