star_ID  ;prio;sys            ;R.A.[deg];R.A.[min] ;R.A.[sec]  ;DEC [deg];DEC [amin];DEC [arcs]  ;dist [pc]         ;magV     ;magJ ;magH ;magK ;spT   ;Teff ;Teff_e;met  ;mass ;mass_e;lum    ;lum_e;R*   ;R*_e;vsini ;vsini_e;logg;logg_e;age  ;age_e;Protmax;Protmax_e;Prot;Prot_e;i*;i*_e;i_dd  ;i_dd_e;Prot_d;Prot_d_e;dd_t1;dd_l1;dd_r1;dd_l2;RV_Prec(390-870) 10m;RV_Prec(390-870) 30m;HZ Rin;HZ Rout;P(HZ);mdl(hz) 30min;Notes RL;Notes MH
HD72673;2;Unknown system ;8;32;51.496;-31;30;3.065;12.1643;6.38;5.333;4.763;4.438;K1 V;5410;70;-0.4;0.87;0.03;0.394;0.002;0.713;0.004;0.5;0.71;4.46;0.04;-999;-999;72.21;102.54;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.13;0.60;0.86;244.23;1.16;-999;Lots of peaks everywhere. 510 obs over 158 nights. Strong signal at ~300d in act ind
HD74576;2;Unknown system ;8;43;18.030;-38;52;56.571;11.192;6.58;4.937;4.441;4.358;K3 V;5031;70;-0.07;0.81;0.02;0.307;0.002;0.729;0.003;7.90;0.439;4.64;0.09;45;5;4.67;0.26;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.20;0.12;0.53;0.76;210.22;0.97;77% probability belonging to MG Argus (45Myr);
HD75732;3;Multiple system;8;52;35.811;28;19;50.954;12.587;5.96;4.768;4.265;4.015;K0 V;5260;70;0.3;0.88;0.03;-999;-999;-999;-999;2.17;1.47;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.18;0.10;-999;-999;-999;-999;Eclipsing Binary;This is 55 Cnc, 5-planet system!
HD76151;0;Single system  ;8;54;17.947;-5;26;4.054;16.847;6.0;4.871;4.625;4.456;G2 V;5830;70;0.12;1.07;0.01;0.973;0.006;0.968;0.007;1.06;1.03;4.34;0.1;2000;1000;46.24;44.94;-999;-999;-999;-999;-999;-999;-999;-999;101;1.43e-05;7;-999;0.23;0.13;0.94;1.35;432.61;1.61;-999;Only nine observations - could be a high-amplitude curve, could be seasonal offsets? The scatter on the act. ind. is low. Suitable: maybe? would be good to see if anyone else has observed it
HD76653;2;Unknown system ;8;55;11.782;-54;57;56.768;24.342;5.698;5.21;4.743;4.561;F6 V;6430;70;0.01;1.27;0.04;2.5;0.02;1.273;0.01;11.13;0.6;4.1;0.1;700;200;5.79;0.32;-999;-999;-999;-999;-999;-999;-999;-999;91;1.9e-05;15;-999;2.59;1.50;1.50;2.17;805.62;25.55;mdl(hz) > 10mE;
GJ333;3;Unknown system ;8;59;31.673;-47;26;9.207;20.891;11.229985;8.757;8.201;7.932;M2;3534;70;-999;0.41;0.02;0.01927;0.0001;0.37;0.002;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.66;0.38;0.13;0.19;36.51;1.09;labelled as PMS star in Simbad (no age, no MG), but also too faint;Unbinned shows lots of RV and activity peaks at 10-100d, binned no peaks
HD81997;3;Multiple system;9;29;8.931;-2;46;8.182;18.209;4.6;3.91;3.58;3.56;F5 V;6500;70;0.01;1.33;0.05;3.71;0.07;1.52;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.79;1.04;1.83;2.64;1058.2;20.01;Spectroscopic Binary;
HD82106;0;Unknown system ;9;29;54.825;5;39;18.473;12.789;7.2;5.429;5.002;4.788;K3 V;4950;70;-0.04;0.78;0.03;0.224;0.001;0.642;0.004;-999;-999;4.46;0.04;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.27;0.15;0.45;0.65;168.68;1.1;-999;
HD82342;0;Multiple system;9;30;28.088;-32;6;12.253;19.630;8.319;6.492;5.975;5.809;K3.5 V;4710;70;-999;0.75;0.02;0.223;0.003;0.708;0.007;2.29;1.51;2.61;0.38;-999;-999;15.66;10.32;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.45;0.26;0.45;0.65;172.02;1.86;-999;No data on exoplanet archive. Nothing in RVs, low RMS (1.78 m/s). Some hints around 80-100 d in Halpha, NaD2, but not highly significant
HD82558;3;Single system  ;9;32;25.568;-11;11;4.692;18.269;7.82;6.075;5.596;5.449;K1 V;4790;100;0.33;0.8;0.04;0.278;0.004;0.764;0.007;30.4;5.5;-999;-999;43;33;1.27;0.23;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.50;0.72;194.55;1.64;PMS star <100Myr;No signals in periodograms, but huge scatter! And fast rotator
HD84117;0;Unknown system ;9;42;14.416;-23;54;56.042;14.9516;4.94;4.08;3.73;3.722;F9 V;6220;70;-0.09;1.2;0.05;1.96;0.01;1.204;0.008;-999;-999;4.03;0.08;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.02;0.59;1.33;1.92;690.66;9.19;;
HD85512;0;Unknown system ;9;51;7.052;-43;30;10.023;11.277;7.67;5.451;4.998;4.717;K6 V;4443;70;-0.29;0.7;0.03;0.165;0.001;0.685;0.004;2.19;1.48;4.48;0.02;-999;-999;15.84;10.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.33;0.19;0.39;0.56;142.91;1.22;-999;One planet, b at 58d, 3Me. More long-period peaks, and also in act ind
HD89449;2;Multiple system;10;19;44.167;19;28;15.286;21.220;4.8;4.037;3.944;4.02;F6 V;6500;70;-0.1;1.36;0.05;4.48;0.05;1.67;0.01;-999;-999;3.97;0.06;3100;1500;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.97;1.14;2.02;2.90;1208.4;23.27;Delta Scuti pulsating variable, mdl(hz) > 10mE;
HD91324;2;Unknown system ;10;31;21.821;-53;42;55.741;22.062;4.89;3.912;3.588;3.582;F9 V;6250;70;-0.16;1.32;0.1;4.43;0.04;1.79;0.01;-999;-999;3.83;0.11;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;90;5.3e-06;21;-999;1.11;0.64;2.00;2.88;1211.6;12.82;Overluminous, indication of youth? mdl(hz) > 10mE;
HD94765;3;Unknown system ;10;56;30.799;7;23;18.507;17.300;7.37;5.739;5.348;5.199;K0 V;5070;100;0.14;0.82;0.02;0.352;0.003;0.768;0.005;3.3;1.82;-999;-999;200;-999;11.79;6.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.30;0.18;0.56;0.81;228.67;1.51;PMS star 200Myr;Only 6 obs. Maybe a linear trend? hard to say, but would still have high scatter, RMS 6.65 m/s
HD98712;3;Multiple system;11;21;26.667;-20;27;13.987;13.724;8.57;6.097;5.464;5.302;K7 V;4013;70;0.09;0.67;0.07;0.124;0.004;0.73;0.01;7.733;0.43;-999;-999;194;20;4.78;0.27;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.44;0.25;0.34;0.48;117.14;1.46;PMS star 200Myr;
HD99279;3;Multiple system;11;24;40.386;-61;38;51.320;12.117;7.54;5.147;4.15;4.548;K5 V;4600;400;-0.23;0.78;0.04;0.33;0.1;0.92;0.05;7.217;0.401;-999;-999;45;5;6.46;0.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.56;0.80;231.9;1.46;"PMS star <100Myr and close vis. comp. at 0.2""";
HD99492;2;Multiple system;11;26;46.278;3;0;22.757;18.161;7.58;5.852;5.403;5.256;K2 V;4950;70;0.34;0.81;0.02;0.353;0.003;0.807;0.008;4.3;2.1;4.46;0.04;-999;-999;9.5;4.64;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.31;0.18;0.56;0.81;230.08;1.5;-999;One planet, HD99492b at 17d, 22Me. Claimed outer planet killed, was activity (Kane et al 2016). No clear signal (including at the 17d - planet came from HIRES, 38 HARPS obs). Suitable: no, given inner Neptune and known long activity cycle. Also, looks like close binary?
HD100623;3;Multiple system;11;34;29.486;-32;49;52.823;9.559;5.96;4.784;4.138;4.022;K0 V;5450;70;-0.37;0.88;0.06;0.353;0.043;0.73;0.037;7.903;0.439;-999;-999;260;51;4.68;0.35;-999;-999;-999;-999;-999;-999;-999;-999;300;0.0001;-999;-999;0.20;0.11;0.62;0.89;255.42;1;PMS star <500Myr;
HD101581;0;Unknown system ;11;41;2.468;-44;24;18.687;12.783;7.77;5.792;5.273;5.101;K4.5 V;4623;70;-0.52;0.72;0.02;0.163;0.001;0.629;0.003;3.64;1.91;4.48;0.02;-999;-999;8.75;4.59;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.34;0.20;0.38;0.55;136.49;1.29;-999;Only 6 points over 3 years
HD102365;0;Multiple system;11;46;31.073;-40;30;1.286;9.319;4.88;3.931;3.49;3.489;G2 V;5840;70;-0.3;1.0;0.04;0.83;0.005;0.891;0.006;7.10;0.395;4.44;0.05;-999;-999;6.35;0.36;-999;-999;-999;-999;-999;-999;-999;-999;900;0.0005;0.09;-999;0.14;0.08;0.87;1.25;398.6;0.92;-999;
HD102438;3;Unknown system ;11;47;15.808;-30;17;11.440;17.742;6.48;5.217;4.935;4.798;G6 V;5670;70;-0.29;0.96;0.02;0.716;0.004;0.877;0.007;1.38;1.18;-999;-999;110;20;32.18;27.52;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.27;0.16;0.81;1.16;364.42;1.74;PMS star 110Myr;Nothing in RVs, and the scatter is fairly low (1.5 m/s). Some signals in activity indicators, though, particularly a strong one at ~400d
HD102870;1;Multiple system;11;50;41.719;1;45;53.002;11.002;3.59;2.597;2.363;2.269;F9 V;6130;70;0.13;1.1;0.05;3.6;0.02;1.68;0.01;-999;-999;3.84;0.18;2630;605;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;50;1E-06;50;-999;0.36;0.21;1.8;2.6;1136.4;3.65;;
HD103932;0;Unknown system ;11;57;56.206;-27;42;25.367;10.173;6.964;4.992;4.62;4.53;K4 V;4587;70;0.21;0.74;0.02;0.218;0.002;0.739;0.005;-999;-999;4.48;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.24;0.14;0.44;0.64;168.48;0.99;-999;
HD104304;3;Multiple system;12;0;44.460;-10;26;46.067;12.766;5.55;4.28;3.91;3.87;G8 IV;5460;70;0.28;0.95;0.03;0.887;0.006;1.05;0.01;-999;-999;-999;-999;-999;-999;-999;-999;-999	;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.16;0.09;0.89;1.29;426.44;1.02;"Close vis. comp. at 1.0""";
HD105671;0;Multiple system;12;9;54.982;-46;12;30.211;19.781;8.438;6.441;5.913;5.763;K4 V;4493;70;0.06;0.72;0.02;0.221;0.001;0.776;0.003;-999;-999;2.02;0.02;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.47;0.27;0.45;0.64;173.18;1.89;-999;
GJ461;3;Multiple system;12;20;25.533;0;35;0.847;17.453;9.999;6.861;6.22;6.011;K7 V;3717;70;-0.3;0.56;0.05;0.0855;0.005;0.705;0.004;2.5;1.58;-999;-999;-999;-999;14.28;9.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.60;0.25;0.28;0.40;96.76;1.22;"close vis. comp. at 0.9"" and eruptive variable";
HD109200;0;Unknown system ;12;33;31.382;-68;45;20.913;16.188;7.13;5.626;5.231;5.067;K1 V;5110;70;-0.35;0.83;0.02;0.361;0.002;0.766;0.005;0.26;0.51;4.5;0.1;-999;-999;149.19;292.65;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.28;0.16;0.57;0.82;232.28;1.36;-999;RV peaks at 20d, 30d. Strong act ind peaks at 100-400d
GJ1162;3;Unknown system ;12;38;47.271;-4;19;17.063;18.684;13.539;9.329;8.76;8.455;M4.5;3150;70;-999;0.42;0.23;0.00925;8E-05;0.322;0.003;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.24;0.72;0.09;0.13;20.56;1.73;too faint;
HD110315;0;Multiple system;12;41;6.485;15;22;35.998;14.108;7.91;5.834;5.273;5.075;K4.5 V;4350;100;-0.12;0.71;0.02;0.189;0.002;0.719;0.006;7.21;0.401;3.8;0.5;-999;-999;5.05;0.28;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.39;0.56;141.9;1.36;-999;
HD110810;0;Multiple system;12;45;14.413;-57;21;28.807;19.781;7.843;6.135;5.697;5.608;K4 V;4980;70;0.07;0.8;0.02;0.312;0.004;0.751;0.007;2.7;1.6;3.83;0.3;-999;-999;14.09;8.35;-999;-999;64;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.36;0.21;0.53;0.77;213.99;1.69;-999;
HD111261B;0;Multiple system;12;48;09.988;-24;48;16.630;18.730;9.33;7.319;6.675;6.491;K7 V;3880;70;-999;0.58;0.05;0.0769;0.0007;0.61;0.01;-999;-999;4.35;0.12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.56;0.32;0.26;0.38;86.81;1.54;-999;No data on exoplanet archive. 12 data points, very high scatter of 200m/s - unless it's offsets? But even taking only the first set it's high
HD113538;0;Unknown system ;13;4;57.477;-52;26;34.526;16.308;9.057;6.438;5.835;5.637;K9 V;4076;70;0.0;0.65;0.02;0.1254;0.0007;0.71;0.004;2.4;1.6;4.47;0.03;-999;-999;14.98;9.99;-999;-999;90;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.34;0.49;121.11;1.91;-999;"2 known planets, HD 113538 b at 663d, 0.36Mj; c at 1818d, 0.93Mj. Some peaks at 200-300d in act ind "
GJ499A;3;Multiple system;13;6;15.397;20;43;45.299;19.682;9.72;6.89;6.27;6.05;-999;3960;70;-999;0.62;0.03;0.123;0.001;0.75;0.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.71;0.41;0.34;0.48;121.77;2.31;Close vis. comp.;
HD114613;0;Unknown system ;13;12;3.184;-37;48;10.880;20.463;4.85;3.692;3.346;3.303;G3 V;5660;70;0.19;1.18;0.2;4.17;0.04;2.12;0.02;-999;-999;3.89;0.12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.13;0.07;1.94;2.79;1222.9;1.3;HWO target candidate;
HD114837;2;Multiple system;13;14;15.145;-59;6;11.654;18.240;4.93;3.936;3.565;3.611;F6 V;6270;70;-0.21;1.26;0.05;2.99;0.03;1.46;0.01;-999;-999;3.95;0.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.21;0.70;1.64;2.36;920.32;12.4;mdl(hz) > 10mE;
HD115404;3;Multiple system;13;16;51.051;17;1;1.841;10.987;6.66;4.901;4.584;4.381;K2 V;4950;70;-0.1;0.8;0.02;0.31;0.002;0.757;0.007;7.01;0.389;-999;-999;1380;0;5.47;0.31;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.53;0.76;211.53;0.96;Hot Jupiter;
HD115617;0;Single system  ;13;18;24.314;-18;18;40.230;8.534=;4.74;3.334;2.974;2.956;G6.5 V;5570;70;0.0;0.92;0.04;0.831;0.006;0.98;0.008;3.9;1.97;4.19;0.12;4000;1500;12.72;6.43;-999;-999;-999;-999;82;4;12.6;6.43;59;2.3e-05;21;0;0.12;0.07;0.87;1.25;415.57;0.77;-999;"3 planets (Vogt 2010, Rosenthal 2021): b at 4d, 5.1Me; c at 38d, 18Me; d at 123d, 22Me (only in Vogt10). Activity: doesn't look terrible, CRX is a bit noisy"
HD117936;0;Unknown system ;13;33;32.400;8;35;12.346;18.141;7.959;6.121;5.613;5.493;K3 V;4760;70;0.2;0.76;0.02;0.247;0.002;0.731;0.005;-999;-999;4.02;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.38;0.22;0.47;0.68;182.67;1.62;-999;
HD118972;3;Single system  ;13;41;4.171;-34;27;50.962;15.692;6.92;5.449;5.137;4.929;K0 V;5240;70;-0.03;0.85;0.03;0.405;0.003;0.771;0.005;5.54;0.4;-999;-999;400;100;7.05;0.51;-999;-999;-999;-999;-999;-999;-999;-999;96;4.3e-05;5.3;-999;0.27;0.16;0.60;0.87;249.63;1.41;PMS star <500Myr;
HD120136;3;Multiple system;13;47;15.738;17;27;24.810;15.614;4.5;3.617;3.546;3.507;F7 V;6480;70;0.24;1.3;0.05;3.14;0.02;1.404;0.009;-999;-999;-999;-999;470;0;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.64;0.95;1.68;2.43;943.68;17.33;PMS star <500Myr;
HD120036A;3;Multiple system;13;47;42.162;32;25;48.134;14.576;8.845;6.333;5.725;5.557;K6 V;4210;70;0.1;0.66;0.02;0.114;0.004;0.63;0.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.54;0.31;0.32;0.46;109.5;1.76;too far north;
HD120036B;3;Multiple system;13;47;42.846;-32;25;51.069;14.581;9.249;6.435;5.799;5.654;K7 V;4190;70;-999;0.65;0.02;0.1024;0.0006;0.608;0.005;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.65;0.38;-999;-999;-999;-999;too far north;
HD120467;0;Unknown system ;13;49;44.806;-22;6;39.931;14.070;8.16;5.919;5.323;5.16;K6 V;4254;70;0.14;0.69;0.02;0.158;0.001;0.732;0.004;-999;-999;4.47;0.03;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.40;0.23;0.38;0.55;139.42;1.45;-999;11 obs over 12 years, no signals, low RMS 3.15 m/s
HD120690;3;Multiple system;13;51;20.342;-24;23;25.843;18.560;6.2705;5.53;4.829;4.665;-999;5540;70;0.01;0.96;0.02;0.84;0.01;0.996;0.01;5.4;2.32;-999;-999;-999;-999;9.34;4.01;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.22;0.13;0.87;1.26;409.7;1.47;"Spectroscopic Binary and close vis. comp. at 0.1""";Looks like linear trend? Fitting out a linear leaves a curve. Lots of peaks in RV, CRX, Halpha at 10-100d, probably not a good target
HD120780;0;Multiple system;13;52;35.854;-50;55;18.149;16.440;7.37;5.782;5.318;5.19;K0 V;4860;70;-0.25;0.8;0.02;0.331;0.003;0.81;0.006;8.30;461;4.585;0.079;3060;810;4.94;274.48;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.29;0.17;0.55;0.79;223.95;1.39;-999;
HD121560;3;Unknown system ;13;55;49.994;14;3;23.408;24.510;6.034;5.137;4.923;4.843;F6 V;6140;70;-0.41;1.16;0.05;1.7;0.01;1.155;0.008;-999;-999;-999;-999;200;100;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;60;5E-06;25;-999;1.18;0.68;1.24;1.79;632.36;10.06;PMS star 200Myr;
HD125276;0;Multiple system;14;19;0.896;-25;48;55.530;17.989;5.87;4.96;4.717;4.512;F9 V;6140;70;-0.57;1.18;0.1;-999;-999;-999;-999;-999;-999;4.07;0.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;1.10;0.63;-999;-999;-999;-999;-999;
HD125072;2;Unknown system ;14;19;4.834;-59;22;44.537;11.820;6.66;4.976;4.671;4.332;K3 V;4940;70;-0.12;0.81;0.02;0.336;0.002;0.791;0.006;1.55;1.24;4.44;0.05;-999;-999;25.84;20.67;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.55;0.79;222.56;0.99;-999;Many peaks at ~20-200d in Rv & act ind
HD128311;2;Single system  ;14;36;0.560;9;44;47.454;16.319;7.48;5.772;5.303;5.142;K3 V;4947;70;0.07;0.81;0.02;0.292;0.002;0.736;0.004;3.69;1.9;4.46;0.04;500;250;10.1;5.2;-999;-999;-999;-999;-999;-999;-999;-999;40;2.3e-05;20;-999;0.30;0.17;0.561;0.74;212.91;1.38;BY Dra Variable, PMS star 500+/-250Myr;
HD128621;2;Multiple system;14;39;35.063;-60;50;15.099;1.347;1.33;-1.454;-1.886;-2.008;K1 V;5140;70;0.24;0.85;0.04;0.53;0.008;0.92;0.02;-999;-999;4.28;0.18;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;300;0;1;-999;0.02;0.01;0.69;1.0;307.72;0.09;HWO target candidate, very bright;
HD128620;2;Multiple system;14;39;36.494;-60;50;2.373;1.3475;-0.01;-1.454;-1.886;-2.008;G2 V;5820;70;0.2;1.02;0.05;-999;-999;-999;-999;-999;-999;4.04;0.12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;70;2E-06;-999;-999;0.01;0.01;-999;-999;-999;-999;HWO target candidate, very bright;
HD130004;3;Unknown system ;14;45;24.183;13;50;46.734;18.811;7.87;6.197;5.668;5.608;K0 V;4950;70;-0.41;0.79;0.02;0.27;0.002;0.708;0.005;-999;-999;-999;-999;85;65;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.37;0.21;0.50;0.71;193.37;1.62;PMS star <100Myr;
HD130307;2;Unknown system ;14;47;16.101;2;42;11.611;19.318;7.76;6.151;5.688;5.615;K1 V;4960;70;-0.24;0.8;0.02;0.302;0.003;0.746;0.005;7.06;0.392;4.54;0.1;-999;-999;5.35;0.3;-999	;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.52;0.76;209.08;53.16;BY Dra variable, mdl(hz) > 10mE;
GJ566B;3;Multiple system;14;51;23.044;19;6;6.888;6.7486;6.816;2.66;2.253;1.971;K5 V;5660;200;-0.1;0.91;0.1;0.59;0.02;0.0308;0.0004;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;22;1.1e-06;120;-999;0.32;0.18;-999;-999;-999;-999;very odd SED and Teff;
HD131156;3;Multiple system;14;51;23.280;19;6;2.280;6.733;4.54;2.66;2.253;1.971;G7 V;5220;70;-0.09;0.9;0.06;0.68;0.01;1.01;0.01;4.39;0.5;-999;-999;300;150;11.65;1.33;-999;-999;-999;-999;-999;-999;-999;-999;0;-999;-999;-999;0.09;0.05;0.79;1.13;362.13;0.52;PMS star <500Myr;
HD130992;0;Unknown system ;14;51;40.465;-24;18;14.876;16.768;7.805;5.99;5.493;5.385;K3.5 V;4770;70;-0.04;0.77;0.02;0.245;0.002;0.725;0.006;1.18;1.09;3.56;0.18;-999;-999;31.11;28.74;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.35;0.20;0.47;0.68;181.48;1.49;-999;Low RV scatter, no strong activity signals
HD131511;3;Multiple system;14;53;23.765;19;9;10.073;11.629;6.01;4.882;4.165;4.32;K0 V;5220;70;0.13;0.87;0.02;0.522;0.007;0.886;0.009;4.51;2.1;-999;-999;1000;500;9.95;4.63;-999;-999;-999;-999;-999;-999;-999;-999;170;3E-05;2;-999;0.18;0.10;0.69;0.99;301.46;0.95;RS CVn Variable (spectr. binary);
HD132683;0;Unknown system ;15;0;43.413;-11;8;6.469;17.836;9.472;6.829;6.148;5.988;K8 V;4070;70;-999;0.64;0.02;0.1067;0.0006;0.656;0.005;2.5;1.5;4.45;0.04;-999;-999;13.29;7.97;-999;-999;90;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.68;0.40;0.31;0.45;106.95;2.2;;Only 5 obs, RMS 2.39 m/s
HD135599;2;Single system  ;15;15;59.167;0;47;46.900;15.819;6.905;5.48;5.115;4.958;K0 V;5250;70;-0.06;0.86;0.02;0.414;0.005;0.776;0.008;2.9;1.7;4.39;0.38;1200;500;13.55;7.94;-999;-999;-999;-999;-999;-999;-999;-999;58;0.0001;14.9;-999;0.27;0.16;0.61;0.88;253.26;1.43;BY Dra variable;
HD136352;0;Unknown system ;15;21;48.150;-48;19;3.470;14.739;5.65;4.308;3.898;4.159;G2 V;5770;70;-0.34;1.01;0.02;1.037;0.006;1.018;0.007;1.55;1.24;4.42;0.1;-999;-999;33.26;26.61;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.19;0.11;0.97;1.39;465.84;1.34;-999;"3 known planets (Udry et al 2019, updated Delrez et al 2021): b at 11.6d, 4.7Me; c at 27.6d, 11.24 Me; d at 107d, 8-10Me. Peaks in act ind at ~100-1000d ranges"
GJ583;1;Unknown system ;15;22;4.100;-4;46;38.831;19.153;9.459;6.987;6.346;6.183;K4 V;4200;70;-999;0.65;0.02;0.1099;0.0007;0.626;0.004;3.21;1.79;4.42;0.07;-999;-999;9.88;5.51;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.72;0.42;0.32;0.45;108.22;2.34;mdl(hz) > 10mE;Only seven obs, over 10 years! RMS 4.14 m/s, no clear trend, but could be seasonal offsets too maybe?
HD139763;0;Unknown system ;15;40;34.570;-18;2;56.500;15.581;8.91;6.475;5.874;5.689;K6 V;4250;70;-999;0.66;0.02;0.1167;0.0008;0.63;0.004;2.0;1.79;4.3;0.12;-999;-999;15.95;14.28;-999;-999;53;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.57;0.33;0.32;0.47;111.61;1.88;-999;8 obs over 9 years, high scatter RMS 7.5m/s
HD140538;3;Multiple system;15;44;1.819;2;30;54.601;14.793;5.86;4.593;4.045;4.297;G2.5 V;5680;70;-0.06;0.98;0.02;0.826;0.083;0.965;0.007;4.1;2.0;-999;-999;-999;-999;11.92;5.81;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.89;1.28;416.97;1.38;"Close WDS comp. 0.2""";No data on exoplanets archive. Observations are multi-point series for each night, should probably average over the night? Taking nightly medians, still a lot of peaks in the 50-200d range in RVs and most activity indicators
HD141004;2;Multiple system;15;46;26.614;7;21;11.047;11.916;4.42;3.43;3.07;2.989;G0 V;6000;60;0;1.05;0.05;2.05;0.01;1.403;0.006;-999;-999;3.99;0.06;3800;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.23;0.13;1.44;2.07;828.7;1.97;HWO target candidate, probably spectroscopic binary;
HD140901;3;Multiple system;15;47;29.101;-37;54;58.723;15.246;6.01;4.959;4.505;4.323;G7 IV;5600;70;0.09;0.902;24;0.816;0.004;0.96;0.006;7.52;0.418;-999;-999;85;65;6.46;0.36;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.21;0.12;0.86;1.24;413.77;1.3;PMS star <100Myr;
HD142860;1;Multiple system;15;56;27.183;15;39;41.810;11.165;3.85;3.149;2.875;2.703;F6 V;6340;70;-0.18;1.27;0.05;3.03;0.02;1.45;0.01;-999;-999;3.65;0.22;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;0.89;0.52;1.66;2.40;937.39;9.32;;
