source_id,ID DR2,ID DR3,RA,DEC,V mag,Phot G mean mag,Phot BP mean mag,Phot RP mean mag,BP-RP,Parallax,Teff Gaia [K],Teff sdb [K],DEB Lum,Mass {M_sun],Mass (RL),vsin(i) [km/s],age [Myr],astrid db,L* Gaia [L_Sun],L* sdb [Lsun],Radius [R_Sun],R* sdb [Rsun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_Ïƒ_RV_total [m/s],HZ DetLim [M_E],Semi-Amplitude_Ïƒ_photon [m/s],HZ DetLim (Ïƒ_photon) [M_E],Ïƒ_photon [m/s],Ïƒ_granulation [m/s],Ïƒ_p-mode [m/s],"Ïƒ_RV,total [m/s]",Density [Solar],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia SpT,HD,astrid db.1,Entry in exoplanet.eu,in 210 list,LitRes Felix,GJ,HIP,Object Type,Stellar Parameter Source,SIMBAD SpT,Readable SpT (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 670216834655936128,670216834655936128,670216834655936128,118.7257197261927,19.23432646356137,7.737594867916108,7.472891807556152,7.968472003936768,6.816317081451416,1.152154922485352,49.24428961984943,4965.0,4950,N,0.8,-999.0,-999 (SB),no MG,NO,0.347,0.341,0.825,0.995,0.841227081519343,315.0417690046457,0.1387718968033111,1.273236664089233,0.0653769543319456,0.5998356811386788,0.3441861427537629,0.6354377343846993,0.3883199895690733,0.7305841082905257,1.422160262819294,,-5.10152575414,0.8345786070153662,HIP_number_match,K,HD 64468,NO,no entry,"N discarded (SB), DEC +19deg",,GJ 292.1,38657.0,SB*,,K2.5V,K2V and K3V,20.30692305076768,0.0,0.0,0.0,0.0,0.0
Gaia DR3 876370076542359936,876370076542359936,876370076542359936,120.1330086325911,29.20717672037853,6.77883243560791,6.77883243560791,7.154812812805176,6.223707675933838,0.931105136871338,58.52996195041519,5323.1,5470,N,0.84,-999.0,-999,no MG,NO,0.451,0.442,0.834,0.739,0.9354954384703108,360.6630984880496,0.1379652112626363,1.367415465322649,0.0505375699438816,0.5008933345489249,0.2660263138300421,0.6668232062291115,0.4472738419343386,0.7262394418595421,1.446186944520838,4.5892,-4.95371856853,1.468341847337529,HD_number_match,G,HD 65583,NO,no entry,"N discarded (SB), DEC +19deg",,GJ 295,39157.0,PM*,GAIA,K0V_Fe-1.3,K0V,17.08526653147613,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3997075206232885888,3997075206232885888,3997075206232885888,168.6376418270073,25.71060296527337,7.722895847959519,7.526764869689941,7.950392723083496,6.934045791625977,1.01634693145752,46.37632294325284,5053.0,5180,N,0.86,-999.0,-999,no MG,NO,0.359,0.362,0.766,0.747,0.850803703112458,308.8925094168035,0.1331223122861523,1.274240712406275,0.0671507496800148,0.6427639186956813,0.3535305432882296,0.5955863077501841,0.3857476056231248,0.7008529854182027,1.913899110729765,4.5185,-5.04088911467,1.052262442192023,HD_number_match,K,HD 97658,NO,hot Neptune at 0.08 au,"- discarded (hot Neptune at 0.08 au), DEC +26deg",,GJ 3651,54906.0,PM*,GAIA,K1V,K1V,21.56272719645375,0.0,0.0,1.0,1.0,1.5
Gaia DR3 3478127463341507072,3478127463341507072,3478127463341507072,173.6193151336163,-32.82768460705796,5.92700693927288,5.73832368850708,6.154197216033936,5.150168418884277,1.004028797149658,104.6132883058554,5225.1,5460,Y 2e-4,0.86,0.88,7.9,260,Y,0.367,0.346,0.773,0.66,0.8504255555675814,308.6244564912659,0.1188468538038436,1.137572838826488,0.0324182754136458,0.3102997547838107,0.1706735813595617,0.5922735451680041,0.397408033397545,0.6256970154396326,1.863068063832381,4.5879,-4.94612614616,1.511578121634981,HD_number_match,K,HD 100623,Y,no entry,- discarded (PMS star <500Myr),,GJ 432,56452.0,PM*,GAIA,K0V,K0V,9.559015075372868,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3494677900774838144,3494677900774838144,3494677900774838144,179.7923752668886,-20.35566459910368,7.896849588732719,7.632170677185059,8.12775707244873,6.974382877349854,1.153374195098877,49.14696348449504,4852.3,4900,Y 1e-4,0.83,-999.0,-999,no MG,Y,0.294,0.303,0.726,0.764,0.7799808915973163,277.3751454749433,0.1313593289171622,1.176821414706069,0.0701303213157251,0.6282832336682267,0.3692478537982805,0.5751360855735874,0.3499869310089186,0.6916288043324365,2.146171637580412,4.5221,-4.88017829427,1.944930251984003,HD_number_match,K,HD 104067,Y,hot Saturn at 0.26 au,- discarded (hot Saturn at 0.26 au),,GJ 1153,58451.0,PM*,GAIA,K2V,K2V,20.34713701723366,0.0,0.0,1.0,1.0,1.5
Gaia DR3 3934198156329809152,3934198156329809152,3934198156329809152,190.2775155828128,15.3750202761841,7.88823264585495,7.507833003997803,8.124560356140137,6.753418922424316,1.37114143371582,70.8793049316243,4520.0,4490,N,0.715,0.71,7.2,no MG,Y,0.191,0.189,0.756,0.719,0.6436800632468691,223.0464568381927,0.12707685810129,0.9641853175557148,0.0686187293233291,0.5206390235911267,0.361335532338277,0.5535014946308536,0.2927632856033883,0.6691669260377023,1.651579163854758,,-4.97541693707,1.351474589441396,HD_number_match,K,HD 110315,Y,no entry,"Y,  discarded (close vis comp. at 2"", 30au)",,GJ 481,61901.0,PM*,,K4.5V,K4V and K5V,14.10849049612828,0.0,0.0,0.0,0.0,0.0
Gaia DR3 3684934540986187776,3684934540986187776,3684934540986187776,198.1818244041562,-2.264990588677121,7.552055346155167,7.330857276916504,7.780782222747803,6.715017795562744,1.065764427185059,47.55293453509341,4989.5,5150,N,0.81,-999.0,-999,no MG,Y,0.403,0.412,0.815,0.805,0.9061749918325424,349.3228015573515,0.1426982451610734,1.370140491507015,0.0600565170657435,0.5766424507727865,0.31614443852066,0.672755889541232,0.4151688976045474,0.751180035048416,1.503265936415298,4.4936,-5.0913889783,0.8675495643182446,HD_number_match,K,HD 114783,Y,"2 Jup at 494d (1.2au) and 4300d (5au), first might interfere with HZ at 0.91au",- discarded (mdl(hz) > 10mE),,GJ 3769,64457.0,PM*,GAIA,K1V,K1V,21.02919640557648,0.0,0.0,1.0,0.0,1.0
Gaia DR3 6232511606838403968,6232511606838403968,6232511606838403968,224.3715942734814,-21.42314039626168,5.725483061494828,5.364036560058594,5.960627555847168,4.63702392578125,1.323603630065918,169.8842702825854,4503.0,4600,N,0.73,0.75,0.5,no MG,Y,0.22,-999.0,0.736,-999.0,0.6914430406204679,245.7629703836871,0.1152697416687975,0.9159271870904492,0.0253146031784645,0.2011484796086635,0.1332958708447136,0.5828187601929273,0.309247207436402,0.6069611476611527,1.833398606190053,4.5357,-4.87472063257,1.985929147193119,HD_number_match,K,(HD 131977),Y,no entry,"Y (BY Dra Variable, closest WDS comp. at 9"" = 53au, BD comp. at 1500au, PMa>8",,GJ 570,73184.0,BY*,,K4V,K4V,5.886360157633197,1.0,0.0,0.0,0.0,1.0
Gaia DR3 1316590033811497088,1316590033811497088,1316590033811497088,239.6295481531528,27.74129310699893,7.806134223937988,7.806134223937988,8.196654319763184,7.237356185913086,0.9592981338500975,37.51709186696944,5284.5,-999,N,0.87,-999.0,-999,no MG,NO,0.421,-999.0,0.803,-999.0,0.9069082037555763,338.6612110399807,0.1445519619526742,1.433951467019105,0.0795020100581203,0.7886577422666405,0.4185211208418978,0.6261757932667411,0.42519280332079,0.7609625101566757,1.672401304207903,,-4.92356606428,1.647708314855397,HD_number_match,G,HD 143291,NO,no entry,- discarded DEC +27deg,,GJ 9533,78241.0,PM*,GAIA,G9V,G9V,26.65451798731803,0.0,0.0,0.0,0.0,0.0
Gaia DR3 5835113573101867520,5835113573101867520,5835113573101867520,243.4452503826733,-57.57678559702253,7.486204287257195,7.268626689910889,7.715081691741943,6.643269538879395,1.071812152862549,73.54824313531948,4965.9,5120,Y 6e-3,0.76,0.62,4.6,no MG,Y,0.201,0.186,0.69,0.549,0.6403327441419882,214.3280444528563,0.1143431554608026,0.8934944326940535,0.0582166391765585,0.4549134820076313,0.3065655864029643,0.5075712274505925,0.3071069580130522,0.6021247018175676,2.324699077934539,,-5.09630618239,0.8513962583321049,HD_number_match,K,HD 145417,Y,no entry,"Y, discarded, DEC +23deg",,GJ 615,79537.0,PM*,GAIA,K3VFe-1.7,K3V,13.59651784149522,0.0,0.0,0.0,0.0,0.0
Gaia DR3 4548462729742343296,4548462729742343296,4548462729742343296,258.1572372591052,18.35067516728285,7.929346142673492,7.679500102996826,8.15957260131836,7.033559799194336,1.126012802124023,48.04638617956317,4965.0,4950,N,0.8,-999.0,-999,no MG,NO,0.305,0.308,0.781,0.754,0.7887449955507619,286.0244732006605,0.1353260455606939,1.202266340522004,0.0714070517630498,0.634395946877227,0.375961727274257,0.5957943389968258,0.3655036483823176,0.7124984518758727,1.676504115133601,,-5.08131281302,0.9016141737606044,HD_number_match,K,HD 155712,NO,no entry,"N, discarded, DEC +18deg",,,84195.0,PM*,,K2.5V,K2V and K3V,20.81321988011153,0.0,0.0,0.0,0.0,0.0
Gaia DR3 5951165616611763456,5951165616611763456,5951165616611763456,259.7726543146931,-46.63575837613547,5.301429271697998,5.301429271697998,5.708796977996826,4.734676837921143,0.9741201400756836,113.7513444394578,5182.5,5430,-999,0.84,0.88,4.5,no MG,Y,0.458,-999.0,0.834,-999.0,0.9524998194908882,369.5040276303359,0.1325246911929008,1.329097026970941,0.0237458310579551,0.2381481758455368,0.1249929419539891,0.6775220767027913,0.4427715078892545,0.6975814404354244,1.457793859010921,4.4879,-4.94104109863,1.541245339185158,HD_number_match,F,HD 156274,Y,no entry,"N, discarded close vis. comp. at 3.7"" (32 au)",,GJ 666,84720.0,PM*,GAIA,G9V,G9V,8.791104886960111,0.0,0.0,0.0,0.0,0.0
Gaia DR3 4556066746008265344,4556066746008265344,4556066746008265344,265.8145945335091,21.60639741947181,7.29704475402832,7.29704475402832,7.691493988037109,6.720071315765381,0.9714226722717284,45.74434105690742,5128.3,5310,N,0.81,-999.0,-999,no MG,NO,0.46,0.619,0.859,0.929,0.9582197054765708,381.5657881176301,0.1490462783339349,1.464978198672168,0.0577250595056856,0.5673805118663535,0.3038404026105022,0.7149264519998263,0.4503164114101852,0.7845168390362475,1.269512691099294,4.4117,-4.9554367394,1.458730328901187,HD_number_match,K,HD 161198,NO,no entry,N,,GJ 9601,86722.0,SB*,GAIA,G9V,G9V,21.86062749829467,0.0,0.0,0.0,0.0,0.0
Gaia DR3 1833199729671740800,1833199729671740800,1833199729671740800,300.9623356058576,23.33662938817249,7.242006274032593,7.035947322845459,7.470217227935791,6.425180912017822,1.045036315917969,64.01198953137545,4945.6,5170,N,0.78,-999.0,-999,no MG,NO,0.312,0.304,0.781,0.687,0.7991628361748757,296.2585538354253,0.1308423943009726,1.152119165969947,0.0520119829789512,0.4579861349243667,0.2738383646600608,0.6230255376101144,0.3739221303824388,0.6888733178676366,1.630526543513457,4.5183,-5.0678482407,0.9492310163172348,HD_number_match,K,HD 190404,NO,no entry,"N, discarded, DEC +23deg",,GJ 778,98792.0,PM*,GAIA,K1V,K1V,15.62207341657223,0.0,0.0,0.0,0.0,0.0
Gaia DR3 1809360187275432832,1809360187271699584,1809360187275432832,302.7733874124184,16.18976911079237,7.30891014072895,7.113066673278809,7.536360740661621,6.521872997283936,1.014487743377686,48.92621072992387,5079.1,5260,N,0.88,-999.0,-999,no MG,NO,0.47,0.486,0.878,0.839,0.9716237526329788,372.8628471243722,0.1398742629827861,1.446552513357226,0.056385973888217,0.5831328116176263,0.2968004293325617,0.6649047401228873,0.4347514501334363,0.7362600739710177,1.302223015332145,4.4659,-5.08584835181,0.886118361930429,HD_number_match,K,HD 191785,NO,no entry,"N discarded, DEC +16deg",,GJ 783.2,99452.0,PM*,,K0V,K0V,20.43894233951757,0.0,0.0,0.0,1.0,0.5
Gaia DR3 6697578465310949376,6697578465310949376,6697578465310949376,302.8022690433109,-36.10821653736984,5.276641377577782,5.033037185668945,5.506255149841309,4.404858112335205,1.101397037506104,166.3272042796776,5011.9,5050,Y 2e-3,0.78,0.8,7.8,no MG,Y,0.292,0.283,0.757,0.69,0.7699609551052614,279.3969070945224,0.1168756454574605,1.012952525110141,0.0212187041608074,0.1839009305585227,0.1117194475513797,0.5957066811154854,0.3644733884930068,0.6153666333138382,1.795769813413236,,-5.04146557595,1.049946436549631,HD_number_match,,HD 191408,Y,no entry,"- discarded, close vis. comp. at 4.3"" (26 au)",,GJ 783,99461.0,PM*,GAIA,K2.5V,K2.5V,6.01224558742964,0.0,0.0,0.0,0.0,0.0
Gaia DR3 6380214844952702848,6380214844952702848,6380214844952702848,354.9079315818153,-72.72542944515125,7.058919092321396,6.753961086273193,7.291834354400635,6.057794094085693,1.234040260314941,87.37235542781944,4720.6,4770,Y 4e-6,0.75,0.76,1.3,no MG,Y,0.233,0.225,0.758,0.693,0.700899620508507,247.8850510880222,0.12013382305192,0.9724692301555364,0.0474148006084547,0.3838172587394845,0.2496648136908469,0.5716393050378178,0.3226464862227462,0.6325701714514552,1.717218532617633,,-5.19755357304,0.5781773426760709,HD_number_match,K,HD 222237,Y,one 5 Mjup GP at 13 au,N,,GJ 902,116745.0,PM*,GAIA,K3+V,K3V,11.44526772917466,0.0,0.0,1.0,0.0,1.0
